size,puzzle_idx,correct,response_time,tokens
16,0,False,21.02230191230774,26410
16,1,False,19.851945877075195,26389
16,2,False,17.97528910636902,26449
16,3,False,16.623175859451294,26391
16,4,False,18.487367153167725,26468
16,5,False,18.227290868759155,26435
16,6,False,15.816857099533081,26415
16,7,False,16.350055932998657,26422
16,8,False,18.05146026611328,26419
16,9,False,22.64109206199646,26417
16,10,False,18.730978965759277,26433
16,11,False,19.951352834701538,26453
16,12,False,15.88447380065918,26370
16,13,False,16.007616996765137,26401
16,14,False,15.997189998626709,26446
16,15,False,15.907717943191528,26405
16,16,False,18.849058866500854,26553
16,17,False,16.85474705696106,26380
16,18,False,15.632318019866943,26396
16,19,False,18.51280403137207,26438
16,20,False,19.698448181152344,26444
16,21,False,15.638966083526611,26385
16,22,False,18.047719955444336,26443
16,23,False,16.115666151046753,26388
16,24,False,17.544814109802246,26588
16,25,False,13.951623916625977,26424
16,26,False,14.756882905960083,26427
16,27,False,13.753016233444214,26408
16,28,False,14.62587285041809,26402
16,29,False,13.55489468574524,26382
16,30,False,16.605725049972534,26398
16,31,False,17.20236301422119,26392
16,32,False,14.042258262634277,26408
16,33,False,11.91905403137207,26383
16,34,False,14.970510721206665,26353
16,35,False,13.829143047332764,26373
16,36,False,16.90335202217102,26459
16,37,False,17.51815700531006,26444
16,38,False,19.67258071899414,26436
16,39,False,15.438422918319702,26387
16,40,False,18.24863290786743,26453
16,41,False,19.770458936691284,26451
16,42,False,18.337451934814453,26392
16,43,False,18.74567699432373,26419
16,44,False,14.672613859176636,26419
16,45,False,17.70221996307373,26390
16,46,False,15.787606000900269,26399
16,47,False,17.826555013656616,26462
16,48,False,17.721878051757812,26450
16,49,False,17.699652194976807,26399
16,50,False,17.54986596107483,26370
16,51,False,18.23942995071411,26451
16,52,False,17.617933988571167,26457
16,53,False,19.264666318893433,26430
16,54,False,19.981444120407104,26399
16,55,False,18.84576106071472,26458
16,56,False,18.028118133544922,26466
16,57,False,21.726342916488647,26465
16,58,False,17.625741004943848,26388
16,59,False,19.053964138031006,26388
16,60,False,18.038987159729004,26405
16,61,False,12.20237684249878,26162
16,62,False,16.7935049533844,26390
16,63,False,18.478973150253296,26419
16,64,False,21.585609912872314,26388
16,65,False,19.46582818031311,26448
16,66,False,16.59806799888611,26370
16,67,False,19.1579749584198,26466
16,68,False,19.866909980773926,26421
16,69,False,14.9629487991333,26257
16,70,False,17.00633716583252,26400
16,71,False,15.60091495513916,26456
16,72,False,17.30099105834961,26419
16,73,False,18.871809005737305,26435
16,74,False,18.027747869491577,26397
16,75,False,17.423500776290894,26419
16,76,False,20.694995164871216,26307
16,77,False,28.478946208953857,26363
16,78,False,17.927192211151123,26369
16,79,False,19.224685192108154,26472
16,80,False,27.590187072753906,26418
16,81,False,17.105806827545166,26387
16,82,False,17.720736026763916,26154
16,83,False,18.02757215499878,26407
16,84,False,18.49626111984253,26402
16,85,False,21.247769117355347,26456
16,86,False,18.75604486465454,26491
16,87,False,16.486818075180054,26405
16,88,False,14.439223051071167,26370
16,89,False,16.498727798461914,26447
16,90,False,16.389141082763672,26440
16,91,False,16.697245836257935,26447
16,92,False,16.29350519180298,26370
16,93,False,15.879250288009644,26412
16,94,False,15.057798862457275,26397
16,95,False,16.092349767684937,26451
16,96,False,16.70634627342224,26402
16,97,False,14.235153198242188,26445
16,98,False,16.75626802444458,26388
16,99,False,14.305848121643066,26401
