puzzle_type,puzzle_idx,num_clues,num_actual_errors,actual_error_positions,num_suspects_detected,suspect_positions,detection_probes,detection_time,suspects_include_all_actual,num_actual_in_suspects,correction_type,correction_attempts,total_solve_calls,positions_corrected,final_success,final_matches_ground_truth,total_time
hexasudoku_16x16_digits,80,120,1,"[(5, 11)]",105,"[(5, 11), (10, 14), (9, 7), (13, 7), (8, 12), (8, 11), (6, 3), (2, 13), (4, 0), (4, 8)]",3,8.885554790496826,True,1,single,1,4,"[(5, 11)]",True,True,9.441243171691895
hexasudoku_16x16_digits,81,120,2,"[(2, 11), (12, 10)]",5,"[(2, 11), (3, 11), (2, 6), (14, 10), (12, 10)]",3,0.3231818675994873,True,2,uncorrectable,30,33,[],False,False,2.224867105484009
hexasudoku_16x16_digits,82,120,1,"[(13, 9)]",3,"[(13, 9), (14, 9), (13, 3)]",3,4.898925065994263,True,1,single,1,4,"[(13, 9)]",True,True,5.258060932159424
hexasudoku_16x16_digits,83,120,0,[],0,[],1,5.1170618534088135,True,0,none,0,2,[],True,True,5.554626226425171
hexasudoku_16x16_digits,84,120,0,[],0,[],1,6.086986064910889,True,0,none,0,2,[],True,True,6.637723207473755
hexasudoku_16x16_digits,85,120,2,"[(4, 12), (6, 6)]",18,"[(13, 4), (4, 8), (4, 2), (4, 12), (4, 5), (5, 4), (4, 7), (4, 15), (4, 1), (4, 9)]",3,0.36983275413513184,True,2,two,80,83,"[(4, 12), (6, 6)]",True,True,4.41320013999939
hexasudoku_16x16_digits,86,120,3,"[(12, 11), (14, 9), (15, 3)]",4,"[(14, 9), (14, 2), (12, 2), (12, 11)]",3,0.319594144821167,False,2,uncorrectable,15,18,[],False,False,0.9832549095153809
hexasudoku_16x16_digits,87,120,4,"[(0, 4), (2, 6), (10, 3), (10, 12)]",3,"[(0, 4), (2, 6), (0, 7)]",3,0.33747410774230957,False,2,uncorrectable,7,10,[],False,False,0.6421759128570557
hexasudoku_16x16_digits,88,120,2,"[(6, 0), (14, 6)]",4,"[(15, 4), (14, 6), (6, 0), (5, 2)]",3,0.3136441707611084,True,2,two,8,11,"[(14, 6), (6, 0)]",True,True,2.3835980892181396
hexasudoku_16x16_digits,89,120,2,"[(11, 9), (15, 13)]",5,"[(11, 9), (11, 11), (0, 9), (15, 13), (13, 13)]",3,0.31447505950927734,True,2,two,8,11,"[(11, 9), (15, 13)]",True,True,1.0376918315887451
hexasudoku_16x16_digits,90,120,3,"[(7, 6), (8, 4), (12, 12)]",4,"[(15, 12), (12, 12), (7, 6), (4, 7)]",3,0.3394131660461426,False,2,uncorrectable,15,18,[],False,False,1.181518793106079
hexasudoku_16x16_digits,91,120,2,"[(2, 0), (3, 10)]",5,"[(2, 0), (2, 10), (0, 2), (3, 10), (3, 4)]",3,0.32690978050231934,True,2,uncorrectable,30,33,[],False,False,1.6069309711456299
hexasudoku_16x16_digits,92,120,1,"[(13, 9)]",120,"[(11, 13), (12, 6), (9, 11), (8, 14), (1, 2), (8, 11), (12, 8), (11, 1), (14, 6), (11, 9)]",51,315.8859679698944,True,1,uncorrectable,920,971,[],False,False,362.37246799468994
hexasudoku_16x16_digits,93,120,5,"[(4, 2), (11, 7), (11, 14), (12, 14), (15, 5)]",4,"[(4, 2), (4, 6), (11, 7), (3, 7)]",3,0.34152913093566895,False,2,uncorrectable,15,18,[],False,False,1.0270469188690186
hexasudoku_16x16_digits,94,120,0,[],0,[],1,5.659707069396973,True,0,none,0,2,[],True,True,6.073448181152344
hexasudoku_16x16_digits,95,120,1,"[(11, 1)]",2,"[(10, 1), (11, 1)]",3,14.339149236679077,True,1,single,1,4,"[(10, 1)]",False,False,14.776319026947021
hexasudoku_16x16_digits,96,120,2,"[(1, 6), (15, 3)]",5,"[(1, 6), (11, 6), (1, 11), (15, 6), (15, 3)]",3,0.3252291679382324,True,2,uncorrectable,30,33,[],False,False,1.6536219120025635
hexasudoku_16x16_digits,97,120,0,[],0,[],1,6.431697130203247,True,0,none,0,2,[],True,True,7.289052724838257
hexasudoku_16x16_digits,98,120,1,"[(0, 13)]",70,"[(0, 13), (11, 2), (10, 15), (2, 5), (14, 1), (3, 5), (1, 13), (2, 10), (8, 0), (3, 11)]",3,15.17912483215332,True,1,uncorrectable,920,923,[],False,False,65.46257996559143
hexasudoku_16x16_digits,99,120,1,"[(3, 14)]",120,"[(3, 14), (8, 9), (5, 3), (9, 15), (4, 2), (5, 2), (12, 15), (2, 5), (13, 9), (14, 8)]",3,21.968894958496094,True,1,single,1,4,"[(3, 14)]",True,True,22.894642114639282
