size,puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
4,0,1.0,True,True,True,True,16,16,0.019038915634155273,0.020554065704345703
4,1,1.0,True,True,True,True,16,16,0.022773027420043945,0.005585908889770508
4,2,1.0,True,True,True,True,16,16,0.013991832733154297,0.008723974227905273
4,3,1.0,True,True,True,True,16,16,0.024758100509643555,0.010344982147216797
4,4,1.0,True,True,True,True,16,16,0.0220029354095459,0.005763053894042969
4,5,0.9375,True,True,True,True,16,16,0.010250091552734375,0.008601188659667969
4,6,1.0,True,True,True,True,16,16,0.01228022575378418,0.011783123016357422
4,7,1.0,True,True,True,True,16,16,0.013656854629516602,0.005491018295288086
4,8,1.0,True,True,True,True,16,16,0.012530803680419922,0.00621485710144043
4,9,1.0,True,True,True,True,16,16,0.018224239349365234,0.005939006805419922
4,10,1.0,True,True,True,True,16,16,0.011168956756591797,0.006200075149536133
4,11,1.0,True,True,True,True,16,16,0.009753942489624023,0.0063800811767578125
4,12,1.0,True,True,True,True,16,16,0.011341094970703125,0.006188869476318359
4,13,1.0,True,True,True,True,16,16,0.01034688949584961,0.009525060653686523
4,14,1.0,True,True,True,True,16,16,0.011642932891845703,0.0053980350494384766
4,15,1.0,True,True,True,True,16,16,0.011640071868896484,0.010148048400878906
4,16,1.0,True,True,True,True,16,16,0.009862899780273438,0.006409883499145508
4,17,1.0,True,True,True,True,16,16,0.010297060012817383,0.010194778442382812
4,18,1.0,True,True,True,True,16,16,0.016947031021118164,0.010481119155883789
4,19,1.0,True,True,True,True,16,16,0.01125788688659668,0.010508060455322266
4,20,1.0,True,True,True,True,16,16,0.01163482666015625,0.011248111724853516
4,21,1.0,True,True,True,True,16,16,0.010406732559204102,0.007305145263671875
4,22,1.0,True,True,True,True,16,16,0.012628793716430664,0.010288715362548828
4,23,1.0,True,True,True,True,16,16,0.011723041534423828,0.0097198486328125
4,24,0.9375,False,False,False,False,0,16,0.012842893600463867,0.008213996887207031
4,25,1.0,True,True,True,True,16,16,0.01323699951171875,0.009320974349975586
4,26,1.0,True,True,True,True,16,16,0.011812925338745117,0.011227130889892578
4,27,1.0,True,True,True,True,16,16,0.01137995719909668,0.008420944213867188
4,28,1.0,True,True,True,True,16,16,0.016036033630371094,0.012846231460571289
4,29,0.875,False,False,False,False,0,16,0.01098489761352539,0.0072171688079833984
4,30,1.0,True,True,True,True,16,16,0.012171030044555664,0.012748956680297852
4,31,1.0,True,True,True,True,16,16,0.014078855514526367,0.00811004638671875
4,32,1.0,True,True,True,True,16,16,0.012441873550415039,0.005300998687744141
4,33,1.0,True,True,True,True,16,16,0.013756990432739258,0.007722139358520508
4,34,1.0,True,True,True,True,16,16,0.020043134689331055,0.01053309440612793
4,35,1.0,True,True,True,True,16,16,0.011452913284301758,0.011164188385009766
4,36,1.0,True,True,True,True,16,16,0.010861873626708984,0.010771989822387695
4,37,1.0,True,True,True,True,16,16,0.012031078338623047,0.011722087860107422
4,38,1.0,True,True,True,True,16,16,0.017534255981445312,0.010231733322143555
4,39,1.0,True,True,True,True,16,16,0.012505769729614258,0.010981082916259766
4,40,1.0,True,True,True,True,16,16,0.012643814086914062,0.011911869049072266
4,41,0.9375,True,True,True,True,16,16,0.012807130813598633,0.011427879333496094
4,42,1.0,True,True,True,True,16,16,0.01732921600341797,0.005560159683227539
