puzzle_type,puzzle_idx,num_clues,num_actual_errors,actual_error_positions,num_suspects_detected,suspect_positions,detection_probes,detection_time,suspects_include_all_actual,num_actual_in_suspects,correction_type,correction_attempts,total_solve_calls,positions_corrected,final_success,final_matches_ground_truth,total_time
hexasudoku_16x16_digits,86,120,3,"[(12, 11), (14, 9), (15, 3)]",4,"[(14, 2), (14, 9), (12, 2), (12, 11)]",3,0.2742807865142822,False,2,uncorrectable,15,18,[],False,False,0.8162498474121094
hexasudoku_16x16_digits,87,120,4,"[(0, 4), (2, 6), (10, 3), (10, 12)]",3,"[(2, 6), (0, 4), (0, 7)]",3,0.2698659896850586,False,2,uncorrectable,7,10,[],False,False,0.517524003982544
hexasudoku_16x16_digits,88,120,2,"[(6, 0), (14, 6)]",4,"[(14, 6), (15, 4), (6, 0), (5, 2)]",3,0.27037811279296875,True,2,two,6,9,"[(14, 6), (6, 0)]",True,True,1.4826397895812988
hexasudoku_16x16_digits,89,120,2,"[(11, 9), (15, 13)]",5,"[(11, 9), (11, 11), (0, 9), (13, 13), (15, 13)]",3,0.2688908576965332,True,2,two,9,12,"[(11, 9), (15, 13)]",True,True,0.9956388473510742
hexasudoku_16x16_digits,90,120,3,"[(7, 6), (8, 4), (12, 12)]",4,"[(12, 12), (15, 12), (7, 6), (4, 7)]",3,0.26717090606689453,False,2,uncorrectable,15,18,[],False,False,0.9560279846191406
hexasudoku_16x16_digits,91,120,2,"[(2, 0), (3, 10)]",5,"[(2, 0), (3, 10), (3, 4), (2, 10), (0, 2)]",3,0.2864348888397217,True,2,uncorrectable,30,33,[],False,False,1.3646810054779053
hexasudoku_16x16_digits,92,120,1,"[(13, 9)]",120,"[(13, 14), (6, 12), (2, 10), (7, 15), (6, 14), (1, 15), (14, 2), (2, 13), (7, 4), (7, 8)]",51,207.14719200134277,True,1,uncorrectable,920,971,[],False,False,241.15398979187012
hexasudoku_16x16_digits,93,120,5,"[(4, 2), (11, 7), (11, 14), (12, 14), (15, 5)]",4,"[(4, 2), (4, 6), (11, 7), (3, 7)]",3,0.27903318405151367,False,2,uncorrectable,15,18,[],False,False,0.8351919651031494
hexasudoku_16x16_digits,94,120,0,[],0,[],1,4.736590147018433,True,0,none,0,2,[],True,True,5.118687868118286
hexasudoku_16x16_digits,95,120,1,"[(11, 1)]",2,"[(11, 1), (10, 1)]",3,10.059492111206055,True,1,single,1,4,"[(11, 1)]",True,True,10.504850149154663
hexasudoku_16x16_digits,96,120,2,"[(1, 6), (15, 3)]",5,"[(1, 6), (11, 6), (1, 11), (15, 6), (15, 3)]",3,0.2767961025238037,True,2,uncorrectable,30,33,[],False,False,1.3908238410949707
hexasudoku_16x16_digits,97,120,0,[],0,[],1,6.271605968475342,True,0,none,0,2,[],True,True,6.909554719924927
hexasudoku_16x16_digits,98,120,1,"[(0, 13)]",83,"[(0, 13), (13, 1), (15, 0), (8, 1), (2, 11), (4, 4), (6, 2), (4, 5), (0, 7), (15, 5)]",3,16.070648193359375,True,1,uncorrectable,920,923,[],False,False,50.25975012779236
hexasudoku_16x16_digits,99,120,1,"[(3, 14)]",120,"[(3, 14), (7, 15), (12, 15), (1, 6), (9, 15), (0, 12), (7, 14), (15, 12), (12, 13), (5, 15)]",3,10.620052337646484,True,1,single,1,4,"[(3, 14)]",True,True,11.272161722183228
