size,puzzle_id,base_solved,corrected_solved,correction_type,solve_time_ms
3,0,True,True,none,523.5130786895752
3,1,True,True,none,152.07815170288086
3,2,True,True,none,177.2308349609375
3,3,True,True,none,151.34525299072266
3,4,True,True,none,145.6923484802246
3,5,True,True,none,141.25990867614746
3,6,True,True,none,144.41823959350586
3,7,True,True,none,135.71524620056152
3,8,True,True,none,142.56000518798828
3,9,True,True,none,152.1608829498291
3,10,True,True,none,132.82203674316406
3,11,True,True,none,143.62311363220215
3,12,True,True,none,134.12213325500488
3,13,True,True,none,129.00233268737793
3,14,True,True,none,130.1901340484619
3,15,True,True,none,131.06799125671387
3,16,True,True,none,133.3448886871338
3,17,True,True,none,133.51202011108398
3,18,True,True,none,138.7472152709961
3,19,True,True,none,130.8138370513916
3,20,True,True,none,134.3250274658203
3,21,True,True,none,132.60602951049805
3,22,True,True,none,137.65311241149902
3,23,True,True,none,130.51676750183103
3,24,True,True,none,137.5291347503662
3,25,True,True,none,140.57016372680664
3,26,True,True,none,137.14194297790527
3,27,True,True,none,130.66697120666504
3,28,True,True,none,141.19291305541992
3,29,True,True,none,138.06605339050293
3,30,True,True,none,157.4838161468506
3,31,True,True,none,148.1301784515381
3,32,True,True,none,134.61804389953613
3,33,True,True,none,137.00008392333984
3,34,True,True,none,138.11373710632324
3,35,True,True,none,133.0587863922119
3,36,True,True,none,130.16605377197266
3,37,True,True,none,131.3941478729248
3,38,True,True,none,135.30874252319336
3,39,True,True,none,140.5739784240723
3,40,True,True,none,141.36600494384766
3,41,True,True,none,134.20486450195312
3,42,True,True,none,143.57995986938477
3,43,True,True,none,133.82506370544434
3,44,True,True,none,134.78398323059082
3,45,True,True,none,131.38604164123535
3,46,True,True,none,130.92780113220215
3,47,True,True,none,131.8798065185547
3,48,True,True,none,129.1189193725586
3,49,True,True,none,131.15596771240234
3,50,True,True,none,133.8481903076172
3,51,True,True,none,131.98113441467285
3,52,True,True,none,126.65414810180664
3,53,True,True,none,131.28185272216797
3,54,True,True,none,132.50112533569336
3,55,True,True,none,135.58006286621094
3,56,True,True,none,132.94315338134766
3,57,True,True,none,128.41010093688965
3,58,True,True,none,127.37584114074708
3,59,True,True,none,133.0118179321289
3,60,True,True,none,136.5358829498291
3,61,True,True,none,135.1606845855713
3,62,True,True,none,133.1157684326172
3,63,True,True,none,133.00108909606934
3,64,True,True,none,137.04705238342285
3,65,True,True,none,137.06707954406738
3,66,True,True,none,137.6938819885254
3,67,True,True,none,128.81898880004883
3,68,True,True,none,132.64799118041992
3,69,True,True,none,133.6369514465332
3,70,True,True,none,134.16290283203125
3,71,True,True,none,133.6209774017334
3,72,True,True,none,271.6517448425293
3,73,True,True,none,145.4179286956787
3,74,True,True,none,159.03615951538086
3,75,True,True,none,149.6877670288086
3,76,True,True,none,144.84310150146484
3,77,True,True,none,132.01498985290527
3,78,True,True,none,133.7721347808838
3,79,True,True,none,128.97896766662598
3,80,True,True,none,134.14406776428223
3,81,True,True,none,124.06396865844728
3,82,True,True,none,130.3868293762207
3,83,True,True,none,133.17584991455078
3,84,True,True,none,130.2928924560547
3,85,True,True,none,130.6290626525879
3,86,True,True,none,134.28092002868652
3,87,True,True,none,131.1328411102295
3,88,True,True,none,133.19826126098633
3,89,True,True,none,128.54909896850586
3,90,True,True,none,131.242036819458
3,91,True,True,none,139.8601531982422
3,92,True,True,none,140.7938003540039
3,93,True,True,none,148.88691902160645
3,94,True,True,none,131.8662166595459
3,95,True,True,none,136.05809211730957
3,96,True,True,none,144.10018920898438
3,97,False,True,constraint_constraint_single,158.08415412902832
3,98,True,True,none,236.55009269714355
3,99,True,True,none,140.1958465576172
4,0,True,True,none,248.76689910888672
4,1,True,True,none,281.80670738220215
4,2,False,False,still_uncorrectable,458.6141109466553
4,3,False,False,still_uncorrectable,411.7178916931152
4,4,True,True,none,270.59102058410645
4,5,True,True,none,239.22109603881836
4,6,True,True,none,250.79798698425293
4,7,True,True,none,241.59693717956543
4,8,True,True,none,254.49109077453613
4,9,True,True,none,248.48103523254397
4,10,False,True,simple_single,402.27317810058594
4,11,True,True,none,233.4878444671631
4,12,True,True,none,237.00308799743652
4,13,True,True,none,241.09315872192383
4,14,True,True,none,232.3739528656006
4,15,False,True,constraint_constraint_single,286.30995750427246
4,16,True,True,none,268.0177688598633
4,17,True,True,none,246.0479736328125
4,18,True,True,none,240.12422561645508
4,19,False,False,still_uncorrectable,277.4829864501953
4,20,True,True,none,233.86287689208984
4,21,True,True,none,235.9769344329834
4,22,True,True,none,249.65286254882812
4,23,True,True,none,240.584135055542
4,24,True,True,none,232.12289810180664
4,25,False,False,still_uncorrectable,309.7827434539795
4,26,True,True,none,253.07106971740723
4,27,True,True,none,234.8940372467041
4,28,True,True,none,237.8082275390625
4,29,False,False,still_uncorrectable,307.8577518463135
4,30,True,True,none,241.36805534362793
4,31,True,True,none,236.83571815490723
4,32,True,True,none,231.7202091217041
4,33,True,True,none,239.63212966918945
4,34,True,True,none,232.27906227111816
4,35,True,True,none,228.93714904785156
4,36,True,True,none,330.7340145111084
4,37,True,True,none,267.35377311706543
4,38,True,True,none,240.65494537353516
4,39,True,True,none,242.0210838317871
4,40,True,True,none,240.22817611694336
4,41,True,True,none,231.46295547485352
4,42,True,True,none,242.6159381866455
4,43,True,True,none,281.21089935302734
4,44,True,True,none,259.1259479522705
4,45,True,True,none,244.96006965637207
4,46,False,True,constraint_constraint_single,276.19194984436035
4,47,True,True,none,239.0620708465576
4,48,True,True,none,242.07520484924316
4,49,True,True,none,236.63091659545896
4,50,False,True,simple_single,347.88012504577637
4,51,True,True,none,239.4099235534668
4,52,True,True,none,251.2991428375244
4,53,True,True,none,245.79691886901855
4,54,True,True,none,242.199182510376
4,55,True,True,none,259.08875465393066
4,56,True,True,none,239.6259307861328
4,57,True,True,none,239.3460273742676
4,58,True,True,none,279.7970771789551
4,59,True,True,none,243.66998672485352
4,60,True,True,none,244.77195739746097
4,61,False,True,constraint_constraint_single,284.46292877197266
4,62,False,False,still_uncorrectable,296.08798027038574
4,63,True,True,none,233.27207565307617
4,64,True,True,none,238.3902072906494
4,65,True,True,none,240.43989181518555
4,66,True,True,none,256.64520263671875
4,67,True,True,none,390.620231628418
4,68,False,True,simple_single,1047.8971004486084
4,69,True,True,none,268.2991027832031
4,70,False,False,still_uncorrectable,321.746826171875
4,71,True,True,none,236.78994178771973
4,72,True,True,none,240.6148910522461
4,73,True,True,none,242.02871322631836
4,74,True,True,none,251.86681747436523
4,75,True,True,none,244.31610107421875
4,76,True,True,none,239.02225494384768
4,77,True,True,none,237.76674270629883
4,78,True,True,none,233.0460548400879
4,79,True,True,none,231.31608963012695
4,80,True,True,none,238.65389823913577
4,81,True,True,none,265.84386825561523
4,82,True,True,none,233.17313194274905
4,83,True,True,none,238.084077835083
4,84,False,False,still_uncorrectable,397.2787857055664
4,85,True,True,none,251.53613090515137
4,86,True,True,none,242.2270774841309
4,87,True,True,none,256.5879821777344
4,88,True,True,none,233.5071563720703
4,89,True,True,none,245.22876739501953
4,90,True,True,none,274.78909492492676
4,91,True,True,none,249.9699592590332
4,92,True,True,none,267.8351402282715
4,93,True,True,none,241.46318435668945
4,94,True,True,none,248.2359409332275
4,95,True,True,none,235.16392707824707
4,96,True,True,none,236.25588417053223
4,97,True,True,none,247.298002243042
4,98,True,True,none,230.8049201965332
4,99,True,True,none,262.8819942474365
5,0,False,False,still_uncorrectable,4236.363887786865
5,1,True,True,none,420.5131530761719
5,2,False,True,constraint_constraint_single,479.877233505249
5,3,False,True,constraint_constraint_three,2388.9310359954834
5,4,False,True,simple_single,2196.1562633514404
5,5,False,True,constraint_constraint_single,620.7013130187988
5,6,True,True,none,467.7140712738037
5,7,True,True,none,449.45383071899414
5,8,False,False,still_uncorrectable,2578.0270099639893
5,9,True,True,none,415.593147277832
5,10,True,True,none,408.9288711547851
5,11,False,True,simple_single,2515.854835510254
5,12,True,True,none,415.9669876098633
5,13,False,True,constraint_constraint_single,686.8391036987305
5,14,False,True,simple_single,2574.492931365967
5,15,False,True,simple_single,2432.162046432495
5,16,False,True,constraint_constraint_single,466.9556617736816
5,17,False,True,constraint_constraint_single,586.5640640258789
5,18,False,False,still_uncorrectable,732.3598861694336
5,19,True,True,none,433.57396125793457
5,20,False,False,still_uncorrectable,7712.5608921051025
5,21,False,False,still_uncorrectable,568.6068534851074
5,22,False,False,still_uncorrectable,2922.66583442688
5,23,True,True,none,411.2248420715332
5,24,False,True,simple_single,2515.236139297486
5,25,True,True,none,385.52212715148926
5,26,False,True,simple_two,3204.0369510650635
5,27,False,True,constraint_constraint_single,989.6721839904784
5,28,True,True,none,389.0819549560547
5,29,False,True,simple_single,2653.088092803955
5,30,False,True,simple_single,2503.62491607666
5,31,False,True,simple_single,3666.2559509277344
5,32,True,True,none,397.719144821167
5,33,False,True,constraint_constraint_single,521.0669040679932
5,34,True,True,none,375.2579689025879
5,35,True,True,none,577.2132873535156
5,36,False,False,still_uncorrectable,2780.8032035827637
5,37,True,True,none,400.2649784088135
5,38,True,True,none,382.01403617858887
5,39,False,True,simple_two,3104.7160625457764
5,40,True,True,none,409.1529846191406
5,41,True,True,none,379.95100021362305
5,42,False,False,still_uncorrectable,1307.5661659240725
5,43,False,True,simple_single,2026.2532234191897
5,44,False,True,constraint_constraint_single,761.2180709838867
5,45,False,False,still_uncorrectable,2654.6430587768555
5,46,False,False,still_uncorrectable,2559.3879222869873
5,47,False,False,still_uncorrectable,2585.945844650269
5,48,False,True,constraint_constraint_single,647.4781036376953
5,49,False,False,still_uncorrectable,2868.9000606536865
5,50,True,True,none,461.2727165222168
