puzzle_type,puzzle_idx,extraction_accuracy,correction_type,num_errors_corrected,final_success,extract_time,solve_time
sudoku_4x4,0,1.0,none,0,True,0.03070068359375,0.020923852920532227
sudoku_4x4,1,1.0,none,0,True,0.02080821990966797,0.0072209835052490234
sudoku_4x4,2,1.0,none,0,True,0.016217947006225586,0.011279106140136719
sudoku_4x4,3,1.0,none,0,True,0.019387006759643555,0.014722824096679688
sudoku_4x4,4,1.0,none,0,True,0.0343019962310791,0.013270139694213867
sudoku_4x4,5,1.0,none,0,True,0.1297163963317871,0.025111913681030273
sudoku_4x4,6,1.0,none,0,True,0.07784724235534668,0.012609004974365234
sudoku_4x4,7,1.0,none,0,True,0.02922821044921875,0.02046489715576172
sudoku_4x4,8,1.0,none,0,True,0.08475518226623535,0.026139020919799805
sudoku_4x4,9,1.0,none,0,True,0.046668052673339844,0.019500017166137695
sudoku_4x4,10,1.0,none,0,True,0.05341792106628418,0.027508974075317383
sudoku_4x4,11,1.0,none,0,True,0.06322908401489258,0.010377883911132812
sudoku_4x4,12,1.0,none,0,True,0.018147706985473633,0.021342992782592773
sudoku_4x4,13,1.0,none,0,True,0.020702838897705078,0.008214950561523438
sudoku_4x4,14,1.0,none,0,True,0.026914119720458984,0.012097597122192383
sudoku_4x4,15,1.0,none,0,True,0.023433923721313477,0.01725912094116211
sudoku_4x4,16,1.0,none,0,True,0.030187129974365234,0.03195595741271973
sudoku_4x4,17,1.0,none,0,True,0.04572796821594238,0.009948968887329102
sudoku_4x4,18,1.0,none,0,True,0.03464102745056152,0.010987997055053711
sudoku_4x4,19,1.0,none,0,True,0.021757125854492188,0.009320974349975586
sudoku_4x4,20,1.0,none,0,True,0.020901918411254883,0.009977102279663086
sudoku_4x4,21,1.0,none,0,True,0.02141594886779785,0.0061261653900146484
sudoku_4x4,22,1.0,none,0,True,0.02548694610595703,0.008377313613891602
sudoku_4x4,23,1.0,none,0,True,0.018838882446289062,0.011531829833984375
sudoku_4x4,24,1.0,none,0,True,0.0409998893737793,0.00786590576171875
sudoku_4x4,25,1.0,none,0,True,0.032898902893066406,0.009202957153320312
sudoku_4x4,26,1.0,none,0,True,0.06576108932495117,0.009850025177001953
sudoku_4x4,27,1.0,none,0,True,0.020086050033569336,0.006979227066040039
sudoku_4x4,28,1.0,none,0,True,0.028966188430786133,0.010634183883666992
sudoku_4x4,29,1.0,none,0,True,0.02722477912902832,0.010873079299926758
sudoku_4x4,30,1.0,none,0,True,0.040183067321777344,0.009318113327026367
sudoku_4x4,31,1.0,none,0,True,0.031061172485351562,0.010332107543945312
sudoku_4x4,32,1.0,none,0,True,0.01954507827758789,0.009374141693115234
sudoku_4x4,33,1.0,none,0,True,0.03844308853149414,0.031126976013183594
sudoku_4x4,34,1.0,none,0,True,0.03424382209777832,0.006527900695800781
sudoku_4x4,35,1.0,none,0,True,0.015753984451293945,0.00661921501159668
sudoku_4x4,36,1.0,none,0,True,0.018466949462890625,0.008243799209594727
sudoku_4x4,37,1.0,none,0,True,0.022298097610473633,0.010575056076049805
sudoku_4x4,38,1.0,none,0,True,0.020487070083618164,0.006654024124145508
sudoku_4x4,39,1.0,none,0,True,0.028862953186035156,0.047437191009521484
sudoku_4x4,40,1.0,none,0,True,0.03591513633728027,0.009232044219970703
sudoku_4x4,41,1.0,none,0,True,0.023770809173583984,0.007572174072265625
sudoku_4x4,42,1.0,none,0,True,0.024191856384277344,0.0267031192779541
sudoku_4x4,43,1.0,none,0,True,0.02739095687866211,0.015579938888549805
sudoku_4x4,44,1.0,none,0,True,0.03646707534790039,0.009898900985717773
sudoku_4x4,45,1.0,none,0,True,0.02543783187866211,0.02286505699157715
sudoku_4x4,46,1.0,none,0,True,0.026732206344604492,0.011601924896240234
sudoku_4x4,47,1.0,none,0,True,0.02269601821899414,0.006282329559326172
sudoku_4x4,48,1.0,none,0,True,0.02510213851928711,0.00824117660522461
sudoku_4x4,49,1.0,none,0,True,0.02399587631225586,0.0069370269775390625
sudoku_4x4,50,1.0,none,0,True,0.031572818756103516,0.010498046875
sudoku_4x4,51,1.0,none,0,True,0.019490957260131836,0.00925898551940918
