puzzle_type,puzzle_idx,num_errors,final_status,failure_category,max_true_rank
hexasudoku_16x16,0,2,two,all_rank_1-4,2
hexasudoku_16x16,1,1,single,all_rank_1-4,2
hexasudoku_16x16,2,0,none,no_errors,0
hexasudoku_16x16,3,1,single,all_rank_1-4,2
hexasudoku_16x16,4,6,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,5,2,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,6,1,single,all_rank_1-4,2
hexasudoku_16x16,7,2,two,all_rank_1-4,2
hexasudoku_16x16,8,1,single,all_rank_1-4,2
hexasudoku_16x16,9,0,none,no_errors,0
hexasudoku_16x16,10,2,single,all_rank_1-4,2
hexasudoku_16x16,11,3,two,all_rank_1-4,2
hexasudoku_16x16,12,1,single,all_rank_1-4,2
hexasudoku_16x16,13,1,single,all_rank_1-4,2
hexasudoku_16x16,14,2,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,15,2,two,all_rank_1-4,2
hexasudoku_16x16,16,1,single,some_rank_5-10,5
hexasudoku_16x16,17,0,none,no_errors,0
hexasudoku_16x16,18,2,two,all_rank_1-4,2
hexasudoku_16x16,19,1,single,all_rank_1-4,2
hexasudoku_16x16,20,2,two,all_rank_1-4,3
hexasudoku_16x16,21,1,single,all_rank_1-4,2
hexasudoku_16x16,22,0,none,no_errors,0
hexasudoku_16x16,23,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,24,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,25,2,two,all_rank_1-4,2
hexasudoku_16x16,26,0,none,no_errors,0
hexasudoku_16x16,27,0,none,no_errors,0
hexasudoku_16x16,28,1,single,all_rank_1-4,2
hexasudoku_16x16,29,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,30,0,none,no_errors,0
hexasudoku_16x16,31,1,single,all_rank_1-4,2
hexasudoku_16x16,32,2,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,33,1,single,all_rank_1-4,3
hexasudoku_16x16,34,0,none,no_errors,0
hexasudoku_16x16,35,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,36,0,none,no_errors,0
