size,puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
4,0,1.0,True,True,True,True,16,16,0.038784027099609375,0.01230001449584961
4,1,1.0,True,True,True,True,16,16,0.008020877838134766,0.005425214767456055
4,2,1.0,True,True,True,True,16,16,0.008021116256713867,0.0051729679107666016
4,3,0.9375,True,True,True,False,6,16,0.006688833236694336,0.005254030227661133
4,4,1.0,True,True,True,True,16,16,0.0077440738677978516,0.005239009857177734
4,5,1.0,True,True,True,True,16,16,0.0074808597564697266,0.005279064178466797
4,6,0.9375,False,False,False,False,0,16,0.0071048736572265625,0.003158092498779297
4,7,1.0,True,True,True,True,16,16,0.007681846618652344,0.0055239200592041016
4,8,1.0,True,True,True,True,16,16,0.00785207748413086,0.005756855010986328
4,9,1.0,True,True,True,True,16,16,0.007484912872314453,0.005271196365356445
4,10,1.0,True,True,True,True,16,16,0.006554841995239258,0.005194902420043945
4,11,1.0,True,True,True,True,16,16,0.007559061050415039,0.00504612922668457
4,12,1.0,True,True,True,True,16,16,0.007339954376220703,0.0053250789642333984
4,13,1.0,True,True,True,True,16,16,0.00801706314086914,0.005333900451660156
4,14,1.0,True,True,True,True,16,16,0.006625175476074219,0.004999876022338867
4,15,0.9375,False,False,False,False,0,16,0.0067980289459228516,0.003144979476928711
4,16,1.0,True,True,True,True,16,16,0.007163047790527344,0.005477190017700195
4,17,1.0,True,True,True,True,16,16,0.006967067718505859,0.005079984664916992
4,18,1.0,True,True,True,True,16,16,0.006958961486816406,0.005015850067138672
4,19,1.0,True,True,True,True,16,16,0.007575035095214844,0.005176067352294922
4,20,1.0,True,True,True,True,16,16,0.0074520111083984375,0.006741046905517578
4,21,1.0,True,True,True,True,16,16,0.006766080856323242,0.00519108772277832
4,22,1.0,True,True,True,True,16,16,0.007319927215576172,0.0050029754638671875
4,23,1.0,True,True,True,True,16,16,0.00715327262878418,0.005091667175292969
4,24,1.0,True,True,True,True,16,16,0.00779414176940918,0.005055904388427734
4,25,1.0,True,True,True,True,16,16,0.007483720779418945,0.004918098449707031
4,26,1.0,True,True,True,True,16,16,0.006851911544799805,0.0050852298736572266
4,27,1.0,True,True,True,True,16,16,0.006446123123168945,0.005059003829956055
4,28,1.0,True,True,True,True,16,16,0.006400108337402344,0.005400896072387695
4,29,1.0,True,True,True,True,16,16,0.007276058197021484,0.005115985870361328
4,30,1.0,True,True,True,True,16,16,0.007216930389404297,0.005014181137084961
4,31,1.0,True,True,True,True,16,16,0.007376194000244141,0.005205631256103516
4,32,1.0,True,True,True,True,16,16,0.00646209716796875,0.004895448684692383
4,33,1.0,True,True,True,True,16,16,0.0078008174896240234,0.005107879638671875
4,34,1.0,True,True,True,True,16,16,0.007205963134765625,0.004961967468261719
4,35,1.0,True,True,True,True,16,16,0.006447792053222656,0.005172014236450195
4,36,1.0,True,True,True,True,16,16,0.0063207149505615234,0.0049970149993896484
4,37,1.0,True,True,True,True,16,16,0.008067131042480469,0.004868984222412109
4,38,1.0,True,True,True,True,16,16,0.006604194641113281,0.005078792572021484
4,39,1.0,True,True,True,True,16,16,0.0070040225982666016,0.005244255065917969
4,40,1.0,True,True,True,True,16,16,0.011119842529296875,0.005675077438354492
4,41,1.0,True,True,True,True,16,16,0.00872492790222168,0.006104230880737305
4,42,1.0,True,True,True,True,16,16,0.008424997329711914,0.0065190792083740234
4,43,0.9375,False,False,False,False,0,16,0.011359214782714844,0.005105018615722656
4,44,1.0,True,True,True,True,16,16,0.009073019027709961,0.005708932876586914
4,45,1.0,True,True,True,True,16,16,0.007072925567626953,0.005122661590576172
4,46,1.0,True,True,True,True,16,16,0.007235050201416016,0.005423069000244141
4,47,1.0,True,True,True,True,16,16,0.007069826126098633,0.005120992660522461
4,48,0.9375,True,True,True,False,8,16,0.007665872573852539,0.00527191162109375
4,49,1.0,True,True,True,True,16,16,0.008756875991821289,0.00493621826171875
4,50,1.0,True,True,True,True,16,16,0.0064771175384521484,0.0052950382232666016
4,51,1.0,True,True,True,True,16,16,0.007462978363037109,0.005141019821166992
4,52,1.0,True,True,True,True,16,16,0.0070497989654541016,0.005051851272583008
4,53,1.0,True,True,True,True,16,16,0.0074329376220703125,0.004991054534912109
4,54,1.0,True,True,True,True,16,16,0.007664918899536133,0.005303859710693359
4,55,1.0,True,True,True,True,16,16,0.008120059967041016,0.005177974700927734
4,56,1.0,True,True,True,True,16,16,0.006514072418212891,0.005117893218994141
4,57,1.0,True,True,True,True,16,16,0.0073201656341552734,0.004995822906494141
