puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
0,0.98046875,False,False,False,False,0,256,0.07714104652404785,0.061456918716430664
1,0.98828125,False,False,False,False,0,256,0.04708719253540039,0.03534102439880371
2,0.99609375,False,False,False,False,0,256,0.05243682861328125,0.034828901290893555
3,0.984375,False,False,False,False,0,256,0.05296063423156738,0.03435230255126953
4,0.9921875,False,False,False,False,0,256,0.05241894721984863,0.034709930419921875
5,0.9921875,False,False,False,False,0,256,0.049814701080322266,0.035781145095825195
6,0.9921875,False,False,False,False,0,256,0.04977703094482422,0.03523898124694824
7,0.9921875,False,False,False,False,0,256,0.059087276458740234,0.03490185737609863
8,0.99609375,False,False,False,False,0,256,0.049636125564575195,0.03615093231201172
9,0.99609375,False,False,False,False,0,256,0.05318880081176758,0.03578805923461914
10,0.984375,False,False,False,False,0,256,0.051965951919555664,0.03432130813598633
11,0.99609375,False,False,False,False,0,256,0.050074100494384766,0.03435182571411133
12,0.9921875,False,False,False,False,0,256,0.05615091323852539,0.16656780242919922
13,0.98828125,False,False,False,False,0,256,0.0543668270111084,0.034871816635131836
14,0.98046875,False,False,False,False,0,256,0.05463886260986328,0.03429412841796875
15,0.9921875,False,False,False,False,0,256,0.05498504638671875,0.11642098426818848
16,0.984375,False,False,False,False,0,256,0.05506110191345215,0.034149885177612305
17,0.98828125,False,False,False,False,0,256,0.05309104919433594,0.03455018997192383
18,0.9921875,False,False,False,False,0,256,0.05561494827270508,0.034626007080078125
19,0.98828125,False,False,False,False,0,256,0.05323314666748047,0.034661054611206055
20,0.98046875,False,False,False,False,0,256,0.05365300178527832,0.07523608207702637
21,0.98828125,False,False,False,False,0,256,0.05812191963195801,0.03462576866149902
22,0.99609375,False,False,False,False,0,256,0.053323984146118164,0.034278154373168945
23,1.0,True,True,True,True,256,256,0.053858041763305664,0.2649977207183838
24,0.98046875,False,False,False,False,0,256,0.05297708511352539,0.034060001373291016
25,0.984375,False,False,False,False,0,256,0.05273604393005371,0.034355878829956055
26,1.0,True,True,True,True,256,256,0.05286002159118652,0.4491119384765625
27,0.9921875,False,False,False,False,0,256,0.05242419242858887,0.03395366668701172
28,0.9921875,False,False,False,False,0,256,0.0567631721496582,0.034178733825683594
29,0.98828125,False,False,False,False,0,256,0.052352190017700195,0.03455996513366699
30,0.99609375,False,False,False,False,0,256,0.05439901351928711,0.03451800346374512
31,0.9921875,False,False,False,False,0,256,0.0569000244140625,0.03565478324890137
32,0.98828125,False,False,False,False,0,256,0.05976104736328125,0.03561997413635254
33,0.9921875,False,False,False,False,0,256,0.06097579002380371,0.038469791412353516
34,0.98828125,False,False,False,False,0,256,0.05684208869934082,0.03602313995361328
35,0.9765625,False,False,False,False,0,256,0.05904579162597656,0.03462791442871094
36,0.9921875,False,False,False,False,0,256,0.06015610694885254,0.03792285919189453
37,0.98828125,False,False,False,False,0,256,0.05129098892211914,0.03895282745361328
38,0.99609375,False,False,False,False,0,256,0.05239224433898926,0.03870582580566406
39,0.9921875,False,False,False,False,0,256,0.053344011306762695,0.036242008209228516
40,1.0,True,True,True,True,256,256,0.05205082893371582,0.4732029438018799
41,0.9765625,False,False,False,False,0,256,0.05287504196166992,0.03420281410217285
42,0.98828125,False,False,False,False,0,256,0.05240797996520996,0.03406810760498047
43,1.0,True,True,True,True,256,256,0.05225396156311035,0.283566951751709
44,0.98828125,False,False,False,False,0,256,0.05275392532348633,0.03512716293334961
45,0.98828125,False,False,False,False,0,256,0.05526995658874512,0.03499197959899902
46,0.9921875,False,False,False,False,0,256,0.056266069412231445,0.03493976593017578
47,0.99609375,False,False,False,False,0,256,0.052911996841430664,0.03613018989562988
48,0.98828125,False,False,False,False,0,256,0.05454397201538086,0.0348050594329834
49,0.99609375,False,False,False,False,0,256,0.05423784255981445,0.03547525405883789
50,0.9765625,False,False,False,False,0,256,0.056333065032958984,0.0344541072845459
51,0.984375,False,False,False,False,0,256,0.05249309539794922,0.034358978271484375
52,0.9921875,False,False,False,False,0,256,0.051573991775512695,0.03792095184326172
53,0.99609375,False,False,False,False,0,256,0.0557551383972168,0.03547811508178711
54,0.98828125,False,False,False,False,0,256,0.05403494834899902,0.03525495529174805
55,0.99609375,False,False,False,False,0,256,0.055226802825927734,0.03607797622680664
56,0.98828125,False,False,False,False,0,256,0.05492091178894043,0.03435492515563965
57,0.98828125,False,False,False,False,0,256,0.05471992492675781,0.034271955490112305
58,1.0,True,True,True,True,256,256,0.052030086517333984,0.597855806350708
59,0.98046875,False,False,False,False,0,256,0.05323600769042969,0.03473091125488281
60,0.984375,False,False,False,False,0,256,0.05550503730773926,0.0340418815612793
61,0.99609375,False,False,False,False,0,256,0.05511283874511719,0.03517413139343262
62,1.0,True,True,True,True,256,256,0.05471682548522949,0.6223800182342529
63,0.9921875,False,False,False,False,0,256,0.0540621280670166,0.03557014465332031
64,0.99609375,False,False,False,False,0,256,0.053360939025878906,0.0345311164855957
65,0.99609375,False,False,False,False,0,256,0.05345296859741211,0.03535270690917969
66,0.9921875,False,False,False,False,0,256,0.05244016647338867,0.03436899185180664
67,0.98046875,False,False,False,False,0,256,0.05297684669494629,0.03446507453918457
68,0.98046875,False,False,False,False,0,256,0.05306601524353027,0.03408193588256836
69,0.98828125,False,False,False,False,0,256,0.05393099784851074,0.03493690490722656
70,0.9921875,False,False,False,False,0,256,0.05199098587036133,0.03409266471862793
71,0.98828125,False,False,False,False,0,256,0.055104732513427734,0.03502321243286133
72,1.0,True,True,True,True,256,256,0.05605506896972656,0.7872641086578369
73,0.984375,False,False,False,False,0,256,0.056282997131347656,0.03420376777648926
74,0.98828125,False,False,False,False,0,256,0.055271148681640625,0.03463006019592285
75,1.0,True,True,True,True,256,256,0.053404808044433594,0.5331928730010986
76,0.98828125,False,False,False,False,0,256,0.05388808250427246,0.10763001441955566
77,0.98828125,False,False,False,False,0,256,0.055361032485961914,0.03656601905822754
78,0.9921875,False,False,False,False,0,256,0.05669903755187988,0.0353240966796875
79,0.98828125,False,False,False,False,0,256,0.055577993392944336,0.03492307662963867
80,0.99609375,False,False,False,False,0,256,0.05452394485473633,0.03569388389587402
81,0.99609375,False,False,False,False,0,256,0.05648326873779297,0.03537416458129883
82,0.99609375,False,False,False,False,0,256,0.05405998229980469,0.03594374656677246
83,0.9921875,False,False,False,False,0,256,0.05360603332519531,0.034718990325927734
84,0.98046875,False,False,False,False,0,256,0.05339217185974121,0.03482818603515625
85,0.9921875,False,False,False,False,0,256,0.0545811653137207,0.034371137619018555
86,0.99609375,False,False,False,False,0,256,0.055700063705444336,0.03503108024597168
87,0.99609375,False,False,False,False,0,256,0.0560908317565918,0.03520488739013672
88,0.98828125,False,False,False,False,0,256,0.053465843200683594,0.034075021743774414
89,0.9921875,False,False,False,False,0,256,0.1226959228515625,0.03624320030212402
90,1.0,True,True,True,True,256,256,0.05248904228210449,0.6218068599700928
91,0.9921875,False,False,False,False,0,256,0.054026126861572266,0.03662896156311035
92,0.98828125,False,False,False,False,0,256,0.054743051528930664,0.03478503227233887
93,1.0,True,True,True,True,256,256,0.05435299873352051,0.6981387138366699
94,0.9921875,False,False,False,False,0,256,0.055869102478027344,0.03498983383178711
95,0.9921875,False,False,False,False,0,256,0.05327725410461426,0.03625607490539551
96,0.9765625,False,False,False,False,0,256,0.05446505546569824,0.03456425666809082
97,0.98828125,False,False,False,False,0,256,0.05380702018737793,0.03507399559020996
98,0.9921875,False,False,False,False,0,256,0.05456209182739258,0.03530406951904297
99,0.9921875,False,False,False,False,0,256,0.06214094161987305,0.03601574897766113
