puzzle_type,puzzle_idx,num_errors,final_status,failure_category,max_true_rank
hexasudoku_16x16,0,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,1,4,uncorrectable,some_rank_5-10,6
hexasudoku_16x16,2,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,3,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,4,6,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,5,5,uncorrectable,some_rank_5-10,6
hexasudoku_16x16,6,4,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,7,2,single,all_rank_1-4,2
hexasudoku_16x16,8,4,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,9,2,uncorrectable,some_rank_5-10,6
hexasudoku_16x16,10,1,single,all_rank_1-4,2
hexasudoku_16x16,11,4,uncorrectable,some_rank_5-10,10
hexasudoku_16x16,12,3,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,13,3,uncorrectable,some_rank_5-10,5
hexasudoku_16x16,14,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,15,4,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,16,2,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,17,2,two,all_rank_1-4,2
hexasudoku_16x16,18,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,19,1,single,all_rank_1-4,2
hexasudoku_16x16,20,4,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,21,3,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,22,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,23,2,two,all_rank_1-4,2
hexasudoku_16x16,24,2,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,25,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,26,2,two,all_rank_1-4,2
hexasudoku_16x16,27,3,uncorrectable,some_rank_5-10,6
hexasudoku_16x16,28,2,two,all_rank_1-4,2
hexasudoku_16x16,29,1,single,all_rank_1-4,4
hexasudoku_16x16,30,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,31,3,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,32,1,single,all_rank_1-4,2
hexasudoku_16x16,33,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,34,1,single,all_rank_1-4,2
hexasudoku_16x16,35,2,two,all_rank_1-4,3
hexasudoku_16x16,36,5,uncorrectable,some_rank_5-10,6
hexasudoku_16x16,37,2,uncorrectable,some_rank_5-10,10
hexasudoku_16x16,38,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,39,2,two,all_rank_1-4,3
hexasudoku_16x16,40,2,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,41,5,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,42,3,two,all_rank_1-4,4
hexasudoku_16x16,43,2,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,44,1,single,all_rank_1-4,2
hexasudoku_16x16,45,4,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,46,3,uncorrectable,some_rank_5-10,6
hexasudoku_16x16,47,1,single,all_rank_1-4,2
hexasudoku_16x16,48,2,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,49,3,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,50,2,uncorrectable,some_rank_5-10,6
hexasudoku_16x16,51,1,single,all_rank_1-4,2
hexasudoku_16x16,52,3,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,53,4,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,54,5,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,55,1,single,all_rank_1-4,2
hexasudoku_16x16,56,1,single,all_rank_1-4,2
hexasudoku_16x16,57,2,single,all_rank_1-4,2
hexasudoku_16x16,58,2,single,all_rank_1-4,2
hexasudoku_16x16,59,1,single,all_rank_1-4,2
hexasudoku_16x16,60,4,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,61,1,single,all_rank_1-4,3
hexasudoku_16x16,62,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,63,0,none,no_errors,0
hexasudoku_16x16,64,0,none,no_errors,0
hexasudoku_16x16,65,0,none,no_errors,0
hexasudoku_16x16,66,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,67,1,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,68,0,none,no_errors,0
hexasudoku_16x16,69,2,two,all_rank_1-4,3
hexasudoku_16x16,70,1,single,all_rank_1-4,2
hexasudoku_16x16,71,5,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,72,2,two,all_rank_1-4,3
hexasudoku_16x16,73,4,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,74,1,single,all_rank_1-4,3
hexasudoku_16x16,75,4,uncorrectable,all_rank_1-4,4
hexasudoku_16x16,76,4,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,77,2,two,all_rank_1-4,2
hexasudoku_16x16,78,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,79,2,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,80,1,single,all_rank_1-4,3
hexasudoku_16x16,81,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,82,2,two,all_rank_1-4,2
hexasudoku_16x16,83,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,84,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,85,2,two,all_rank_1-4,2
hexasudoku_16x16,86,2,two,all_rank_1-4,2
hexasudoku_16x16,87,4,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,88,5,uncorrectable,some_rank_5-10,5
hexasudoku_16x16,89,3,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,90,1,single,all_rank_1-4,2
hexasudoku_16x16,91,1,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,92,0,none,no_errors,0
hexasudoku_16x16,93,2,two,all_rank_1-4,2
hexasudoku_16x16,94,2,two,all_rank_1-4,2
hexasudoku_16x16,95,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,96,2,two,all_rank_1-4,2
hexasudoku_16x16,97,1,uncorrectable,all_rank_1-4,2
hexasudoku_16x16,98,2,two,all_rank_1-4,2
hexasudoku_16x16,99,5,uncorrectable,all_rank_1-4,2
