size,puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
4,0,1.0,True,True,True,True,16,16,0.03654885292053223,0.010954141616821289
4,1,1.0,True,True,True,True,16,16,0.0074880123138427734,0.005243062973022461
4,2,1.0,True,True,True,True,16,16,0.006489992141723633,0.004816293716430664
4,3,1.0,True,True,True,True,16,16,0.005716085433959961,0.0050318241119384766
4,4,1.0,True,True,True,True,16,16,0.006683826446533203,0.00486302375793457
4,5,0.9375,True,True,True,True,16,16,0.005654811859130859,0.005002021789550781
4,6,1.0,True,True,True,True,16,16,0.006430864334106445,0.004682064056396484
4,7,1.0,True,True,True,True,16,16,0.0062558650970458984,0.005029201507568359
4,8,1.0,True,True,True,True,16,16,0.006498098373413086,0.005294084548950195
4,9,1.0,True,True,True,True,16,16,0.006926774978637695,0.0046808719635009766
4,10,1.0,True,True,True,True,16,16,0.005240917205810547,0.004792928695678711
4,11,1.0,True,True,True,True,16,16,0.0057070255279541016,0.0046138763427734375
4,12,1.0,True,True,True,True,16,16,0.005842924118041992,0.004625797271728516
4,13,1.0,True,True,True,True,16,16,0.005800962448120117,0.0047910213470458984
4,14,1.0,True,True,True,True,16,16,0.005776882171630859,0.004621744155883789
4,15,1.0,True,True,True,True,16,16,0.0056841373443603516,0.004706621170043945
4,16,1.0,True,True,True,True,16,16,0.00577092170715332,0.004586935043334961
4,17,1.0,True,True,True,True,16,16,0.0060961246490478516,0.004720926284790039
4,18,1.0,True,True,True,True,16,16,0.0059320926666259766,0.004799842834472656
4,19,1.0,True,True,True,True,16,16,0.005305051803588867,0.004662036895751953
4,20,1.0,True,True,True,True,16,16,0.006417274475097656,0.004561901092529297
4,21,1.0,True,True,True,True,16,16,0.005695819854736328,0.004709959030151367
4,22,1.0,True,True,True,True,16,16,0.0071659088134765625,0.005028963088989258
4,23,1.0,True,True,True,True,16,16,0.00704193115234375,0.005184173583984375
4,24,0.9375,False,False,False,False,0,16,0.006247997283935547,0.003070831298828125
4,25,1.0,True,True,True,True,16,16,0.00674891471862793,0.004827976226806641
4,26,1.0,True,True,True,True,16,16,0.005655050277709961,0.004591226577758789
4,27,1.0,True,True,True,True,16,16,0.0051422119140625,0.0046269893646240234
4,28,1.0,True,True,True,True,16,16,0.005136251449584961,0.004663705825805664
4,29,0.875,False,False,False,False,0,16,0.0057621002197265625,0.0029342174530029297
4,30,1.0,True,True,True,True,16,16,0.005385875701904297,0.00476527214050293
