puzzle_id,size,error_type,error_count,details
4_70,4,ocr_errors,2,"target:1->12, target:0->6"
4_71,4,none,0,
4_72,4,ocr_errors,2,"target:7->2, target:17->12"
4_73,4,ocr_errors,2,"target:7->9, target:4->9"
4_74,4,ocr_errors,1,target:4->24
4_75,4,ocr_errors,1,target:4->9
4_76,4,ocr_errors,1,target:0->4
4_77,4,ocr_errors,1,target:7->2
4_78,4,ocr_errors,1,target:6->8
4_79,4,ocr_errors,2,"target:4->8, target:1->7"
4_80,4,ocr_errors,3,"target:4->9, target:6->8, target:1->2"
4_81,4,ocr_errors,2,"target:10->12, target:7->4"
4_82,4,ocr_errors,1,target:7->8
4_83,4,none,0,
4_84,4,ocr_errors,2,"target:7->3, target:0->12"
4_85,4,ocr_errors,1,target:7->4
4_86,4,ocr_errors,2,"target:17->12, target:3->8"
4_87,4,ocr_errors,1,target:2->3
4_88,4,none,0,
4_89,4,ocr_errors,1,target:1->7
4_90,4,ocr_errors,1,target:3->5
4_91,4,ocr_errors,1,target:1->7
4_92,4,none,0,
4_93,4,ocr_errors,2,"target:1->8, target:6->9"
4_94,4,none,0,
4_95,4,none,0,
4_96,4,ocr_errors,1,target:7->1
4_97,4,ocr_errors,2,"target:7->5, target:17->12"
4_98,4,ocr_errors,3,"target:22->18, target:7->6, target:1->4"
4_99,4,none,0,
5_0,5,ocr_errors,4,"target:17->15, target:4->24, target:4->40, target:44->45"
5_1,5,ocr_errors,1,target:1->9
5_2,5,ocr_errors,5,"target:1->4, target:4->9, target:2->20, target:15->10, target:7->1"
5_3,5,ocr_errors,3,"target:4->20, target:4->9, target:2->20"
5_4,5,ocr_errors,2,"target:1->10, target:4->20"
5_5,5,ocr_errors,3,"target:70->96, target:2->24, target:4->40"
5_6,5,none,0,
5_7,5,ocr_errors,1,target:4->9
5_8,5,ocr_errors,2,"target:17->14, target:14->120"
5_9,5,none,0,
5_10,5,ocr_errors,1,target:4->30
5_11,5,ocr_errors,2,"target:4->24, target:7->5"
5_12,5,ocr_errors,1,target:1->20
5_13,5,ocr_errors,3,"target:0->6, target:1->24, target:2->30"
5_14,5,ocr_errors,1,target:6->40
5_15,5,ocr_errors,2,"target:52->300, target:2->60"
5_16,5,ocr_errors,1,target:1->6
5_17,5,ocr_errors,3,"target:4->40, target:1->6, target:2->20"
5_18,5,ocr_errors,3,"target:4->200, target:2->24, target:7->9"
5_19,5,none,0,
5_20,5,ocr_errors,2,"target:12->100, target:2->30"
5_21,5,ocr_errors,2,"target:17->14, target:2->24"
5_22,5,ocr_errors,5,"target:2->60, target:1->2, target:2->30, target:13->20, target:7->3"
5_23,5,ocr_errors,1,target:7->2.0
5_24,5,ocr_errors,3,"target:17->13, target:15->150, target:21->24"
5_25,5,ocr_errors,3,"target:10->20, target:7->9, target:4->9"
5_26,5,ocr_errors,2,"target:2->60, target:4->40"
5_27,5,ocr_errors,2,"target:3->9, target:0->7"
5_28,5,ocr_errors,2,"target:19->14, target:4->9"
5_29,5,ocr_errors,3,"target:7->9, target:8->40, target:9->5"
5_30,5,ocr_errors,2,"target:12->100, target:7->9"
5_31,5,ocr_errors,4,"target:4->24, target:0->2, target:7->2.0, target:12->120"
5_32,5,ocr_errors,2,"target:7->5, target:4->40"
5_33,5,ocr_errors,1,target:0->20
5_34,5,ocr_errors,1,target:3->2
5_35,5,ocr_errors,1,target:7->4.0
5_36,5,ocr_errors,2,"target:16->120, target:4->30"
5_37,5,ocr_errors,1,target:21->24
5_38,5,ocr_errors,1,target:10->40
5_39,5,ocr_errors,4,"target:2->50, target:4->24, target:6->20, target:21->24"
5_40,5,ocr_errors,3,"target:17->15, target:166->160, target:12->4"
5_41,5,ocr_errors,2,"target:70->30, target:1->8"
5_42,5,ocr_errors,3,"target:7->2, target:2->30, target:4->9"
5_43,5,ocr_errors,1,target:4->20
5_44,5,ocr_errors,2,"target:5->40, target:3->8"
5_45,5,ocr_errors,3,"target:2->30, target:73->13, target:10->40"
5_46,5,ocr_errors,4,"target:12->150, target:17->12, target:1->8, target:2->60"
5_47,5,ocr_errors,3,"target:10->120, target:4->2, target:4->40"
5_48,5,ocr_errors,1,target:4->40
5_49,5,ocr_errors,5,"target:25->200, target:4->24, target:1->2.0, target:12->8, target:1->15"
5_50,5,none,0,
5_51,5,ocr_errors,4,"target:2->50, target:2->7, target:4->9, target:7->9"
5_52,5,ocr_errors,1,target:4->9
5_53,5,ocr_errors,2,"target:12->120, target:4->9"
5_54,5,none,0,
5_55,5,ocr_errors,2,"target:2->60, target:2->24"
5_56,5,ocr_errors,1,target:15->10
5_57,5,ocr_errors,2,"target:12->120, target:2->24"
5_58,5,ocr_errors,4,"target:2->30, target:4->9, target:1->12, target:2->40"
5_59,5,ocr_errors,1,target:6->15
5_60,5,ocr_errors,3,"target:11->12, target:7->9, target:2->13"
5_61,5,ocr_errors,2,"target:7->9, target:4->24"
5_62,5,ocr_errors,2,"target:13->15, target:6->60"
5_63,5,ocr_errors,2,"target:1->6, target:4->9"
5_64,5,ocr_errors,1,target:1->13
5_65,5,ocr_errors,2,"target:1->9, target:7->9"
5_66,5,ocr_errors,5,"target:7->9, target:11->17, target:1->7, target:0->6, target:40->90"
5_67,5,ocr_errors,2,"target:17->14, target:2->20"
5_68,5,ocr_errors,4,"target:16->15, target:6->8, target:4->200, target:9->30"
5_69,5,ocr_errors,1,target:1->10
5_70,5,ocr_errors,2,"target:5->8, target:6->20"
5_71,5,none,0,
5_72,5,ocr_errors,1,target:1->90
5_73,5,ocr_errors,1,target:5->40
5_74,5,ocr_errors,2,"target:3->30, target:2->12"
5_75,5,ocr_errors,2,"target:7->3, target:2->20"
5_76,5,ocr_errors,2,"target:7->8, target:1->8"
5_77,5,ocr_errors,2,"target:2->20, target:12->120"
5_78,5,ocr_errors,3,"target:7->40, target:8->7, target:0->17"
5_79,5,ocr_errors,1,target:7->2.0
5_80,5,ocr_errors,2,"target:2->24, target:17->15"
5_81,5,ocr_errors,3,"target:24->240, target:2->60, target:4->20"
5_82,5,none,0,
5_83,5,ocr_errors,4,"target:6->10, target:1->7, target:7->75, target:4->24"
5_84,5,none,0,
5_85,5,ocr_errors,3,"target:11->1, target:1->7, target:4->40"
5_86,5,ocr_errors,1,target:2->30
5_87,5,ocr_errors,2,"target:67->60, target:4->40"
5_88,5,ocr_errors,4,"target:14->120, target:3->5, target:0->120, target:2->40"
5_89,5,none,0,
5_90,5,ocr_errors,4,"target:1->10, target:2->12, target:4->40, target:1->9"
5_91,5,ocr_errors,3,"target:27->24, target:2->200, target:1->4"
5_92,5,none,0,
5_93,5,none,0,
5_94,5,ocr_errors,2,"target:7->24, target:4->40"
5_95,5,ocr_errors,1,target:2->300
5_96,5,ocr_errors,3,"target:6->10, target:2->20, target:10->120"
5_97,5,ocr_errors,2,"target:5->8, target:2->20"
5_98,5,ocr_errors,3,"target:11->1, target:4->80, target:1->7"
5_99,5,ocr_errors,1,target:4->20
6_0,6,ocr_errors,4,"target:72->12, target:2->60, target:1->12, target:7->25"
6_1,6,ocr_errors,2,"target:2->13, target:16->160"
6_2,6,ocr_errors,5,"target:4->9, target:1->10, target:2->12, target:2->20, target:14->180"
6_3,6,ocr_errors,7,"target:13->20, target:2->24, target:17->14, target:4->30, target:2->60, target:7->5, target:16->10"
6_4,6,ocr_errors,3,"target:12->100, target:7->4, target:1->15"
6_5,6,ocr_errors,2,"target:14->144, target:7->8"
6_6,6,ocr_errors,6,"target:4->9, target:4->72, target:15->150, target:4->9, target:2->20, target:47->48"
6_7,6,ocr_errors,1,target:0->12
6_8,6,ocr_errors,5,"target:106->108, target:6->40, target:2->24, target:101->108, target:12->120"
