size,puzzle_index,filename,size_detected,size_correct,solved,solve_time_ms,error_type,error_message
9,16,./board_images/board9_16.png,9,True,False,562.4721050262451,exception,list index out of range
9,17,./board_images/board9_17.png,9,True,False,626.9140243530273,z3_unsolvable,Z3 could not satisfy constraints
9,18,./board_images/board9_18.png,9,True,False,490.8721446990967,exception,list index out of range
9,19,./board_images/board9_19.png,9,True,False,487.6737594604492,exception,list index out of range
9,20,./board_images/board9_20.png,9,True,False,493.9463138580322,exception,list index out of range
9,21,./board_images/board9_21.png,9,True,False,490.44299125671387,exception,list index out of range
9,22,./board_images/board9_22.png,9,True,False,527.9853343963623,z3_unsolvable,Z3 could not satisfy constraints
9,23,./board_images/board9_23.png,9,True,False,499.4339942932129,exception,list index out of range
9,24,./board_images/board9_24.png,9,True,False,558.2058429718018,exception,list index out of range
9,25,./board_images/board9_25.png,9,True,False,732.5649261474609,exception,list index out of range
9,26,./board_images/board9_26.png,9,True,False,594.9230194091797,exception,list index out of range
9,27,./board_images/board9_27.png,9,True,False,712.0330333709717,z3_unsolvable,Z3 could not satisfy constraints
9,28,./board_images/board9_28.png,9,True,False,606.6000461578369,exception,list index out of range
9,29,./board_images/board9_29.png,9,True,False,616.0500049591064,z3_unsolvable,Z3 could not satisfy constraints
9,30,./board_images/board9_30.png,9,True,False,503.2658576965332,exception,list index out of range
9,31,./board_images/board9_31.png,9,True,False,480.60107231140137,exception,list index out of range
9,32,./board_images/board9_32.png,9,True,False,546.4658737182617,z3_unsolvable,Z3 could not satisfy constraints
9,33,./board_images/board9_33.png,9,True,False,646.9156742095947,z3_unsolvable,Z3 could not satisfy constraints
9,34,./board_images/board9_34.png,9,True,False,481.0047149658203,exception,list index out of range
9,35,./board_images/board9_35.png,9,True,False,470.57509422302246,exception,list index out of range
9,36,./board_images/board9_36.png,9,True,False,633.1467628479004,z3_unsolvable,Z3 could not satisfy constraints
9,37,./board_images/board9_37.png,9,True,False,470.134973526001,exception,list index out of range
9,38,./board_images/board9_38.png,9,True,False,873.7421035766602,exception,list index out of range
9,39,./board_images/board9_39.png,9,True,False,655.9927463531494,z3_unsolvable,Z3 could not satisfy constraints
9,40,./board_images/board9_40.png,9,True,False,636.3987922668457,z3_unsolvable,Z3 could not satisfy constraints
9,41,./board_images/board9_41.png,9,True,False,528.6130905151367,exception,list index out of range
9,42,./board_images/board9_42.png,9,True,False,587.4850749969482,exception,list index out of range
9,43,./board_images/board9_43.png,9,True,False,608.165979385376,z3_unsolvable,Z3 could not satisfy constraints
9,44,./board_images/board9_44.png,9,True,False,615.1039600372314,z3_unsolvable,Z3 could not satisfy constraints
9,45,./board_images/board9_45.png,9,True,False,524.2691040039062,z3_unsolvable,Z3 could not satisfy constraints
9,46,./board_images/board9_46.png,9,True,False,660.614013671875,z3_unsolvable,Z3 could not satisfy constraints
9,47,./board_images/board9_47.png,9,True,False,554.9142360687256,exception,list index out of range
9,48,./board_images/board9_48.png,9,True,False,537.6458168029785,z3_unsolvable,Z3 could not satisfy constraints
9,49,./board_images/board9_49.png,9,True,False,500.6988048553467,z3_unsolvable,Z3 could not satisfy constraints
9,50,./board_images/board9_50.png,9,True,False,546.760082244873,z3_unsolvable,Z3 could not satisfy constraints
9,51,./board_images/board9_51.png,9,True,False,506.35814666748047,exception,list index out of range
9,52,./board_images/board9_52.png,9,True,False,451.31993293762207,exception,list index out of range
9,53,./board_images/board9_53.png,9,True,False,523.4382152557373,z3_unsolvable,Z3 could not satisfy constraints
9,54,./board_images/board9_54.png,9,True,False,483.1092357635498,exception,list index out of range
9,55,./board_images/board9_55.png,9,True,False,507.188081741333,exception,list index out of range
9,56,./board_images/board9_56.png,9,True,False,529.8500061035156,z3_unsolvable,Z3 could not satisfy constraints
9,57,./board_images/board9_57.png,9,True,False,524.724006652832,z3_unsolvable,Z3 could not satisfy constraints
9,58,./board_images/board9_58.png,9,True,False,478.085994720459,exception,list index out of range
9,59,./board_images/board9_59.png,9,True,False,529.82497215271,z3_unsolvable,Z3 could not satisfy constraints
9,60,./board_images/board9_60.png,9,True,False,479.8731803894043,exception,list index out of range
9,61,./board_images/board9_61.png,9,True,False,564.5732879638672,z3_unsolvable,Z3 could not satisfy constraints
9,62,./board_images/board9_62.png,9,True,False,526.3688564300537,exception,list index out of range
9,63,./board_images/board9_63.png,9,True,False,505.2661895751953,z3_unsolvable,Z3 could not satisfy constraints
9,64,./board_images/board9_64.png,9,True,False,458.45699310302734,exception,list index out of range
9,65,./board_images/board9_65.png,9,True,False,462.42380142211914,exception,list index out of range
9,66,./board_images/board9_66.png,9,True,False,751.6601085662842,exception,list index out of range
9,67,./board_images/board9_67.png,9,True,False,672.7960109710693,z3_unsolvable,Z3 could not satisfy constraints
9,68,./board_images/board9_68.png,9,True,False,699.3098258972168,z3_unsolvable,Z3 could not satisfy constraints
9,69,./board_images/board9_69.png,9,True,False,806.3709735870361,z3_unsolvable,Z3 could not satisfy constraints
9,70,./board_images/board9_70.png,9,True,False,1430.361032485962,exception,list index out of range
9,71,./board_images/board9_71.png,9,True,False,686.6209506988525,z3_unsolvable,Z3 could not satisfy constraints
9,72,./board_images/board9_72.png,9,True,False,589.148998260498,exception,list index out of range
9,73,./board_images/board9_73.png,9,True,False,539.862871170044,z3_unsolvable,Z3 could not satisfy constraints
9,74,./board_images/board9_74.png,9,True,False,602.1280288696289,z3_unsolvable,Z3 could not satisfy constraints
9,75,./board_images/board9_75.png,9,True,False,549.8571395874023,exception,list index out of range
9,76,./board_images/board9_76.png,9,True,False,594.7587490081787,exception,list index out of range
9,77,./board_images/board9_77.png,9,True,False,628.5598278045654,exception,list index out of range
9,78,./board_images/board9_78.png,9,True,False,664.607048034668,z3_unsolvable,Z3 could not satisfy constraints
9,79,./board_images/board9_79.png,9,True,False,561.8510246276855,exception,list index out of range
9,80,./board_images/board9_80.png,9,True,False,466.41087532043457,exception,list index out of range
9,81,./board_images/board9_81.png,9,True,False,541.8891906738281,z3_unsolvable,Z3 could not satisfy constraints
9,82,./board_images/board9_82.png,9,True,False,501.8181800842285,exception,list index out of range
9,83,./board_images/board9_83.png,9,True,False,546.6768741607666,z3_unsolvable,Z3 could not satisfy constraints
9,84,./board_images/board9_84.png,9,True,False,522.9098796844482,exception,list index out of range
9,85,./board_images/board9_85.png,9,True,False,459.49721336364746,exception,list index out of range
9,86,./board_images/board9_86.png,9,True,False,454.495906829834,exception,list index out of range
9,87,./board_images/board9_87.png,9,True,False,661.8998050689697,exception,list index out of range
9,88,./board_images/board9_88.png,9,True,False,556.7491054534912,exception,list index out of range
9,89,./board_images/board9_89.png,9,True,False,506.5929889678955,exception,list index out of range
9,90,./board_images/board9_90.png,9,True,False,571.645975112915,z3_unsolvable,Z3 could not satisfy constraints
9,91,./board_images/board9_91.png,9,True,False,562.6821517944336,z3_unsolvable,Z3 could not satisfy constraints
9,92,./board_images/board9_92.png,9,True,False,560.95290184021,z3_unsolvable,Z3 could not satisfy constraints
9,93,./board_images/board9_93.png,9,True,False,514.946699142456,exception,list index out of range
9,94,./board_images/board9_94.png,9,True,False,484.8508834838867,exception,list index out of range
9,95,./board_images/board9_95.png,9,True,False,497.9588985443115,exception,list index out of range
9,96,./board_images/board9_96.png,9,True,False,539.1590595245361,z3_unsolvable,Z3 could not satisfy constraints
9,97,./board_images/board9_97.png,9,True,False,870.5110549926758,z3_unsolvable,Z3 could not satisfy constraints
9,98,./board_images/board9_98.png,9,True,False,558.884859085083,exception,list index out of range
9,99,./board_images/board9_99.png,9,True,False,455.7313919067383,exception,list index out of range
