size,puzzle_index,solved,solve_time_ms
3,0,True,310.8220100402832
3,1,True,146.41094207763672
3,2,True,138.2761001586914
3,3,True,137.80570030212402
3,4,True,137.71581649780273
3,5,True,139.10698890686035
3,6,True,135.69879531860352
3,7,True,136.69586181640625
3,8,True,142.42911338806152
3,9,True,140.39015769958496
3,10,True,135.3929042816162
3,11,True,135.51688194274902
3,12,True,135.955810546875
3,13,True,132.72976875305176
3,14,True,140.26594161987305
3,15,True,136.4448070526123
3,16,True,141.10803604125977
3,17,True,136.34610176086426
3,18,True,139.77479934692383
3,19,True,134.68098640441895
3,20,True,151.28588676452637
3,21,True,174.7119426727295
3,22,True,159.21592712402344
3,23,True,137.89916038513184
3,24,True,139.2059326171875
3,25,True,140.7179832458496
3,26,True,142.76385307312012
3,27,True,135.69307327270508
3,28,True,141.16621017456055
3,29,True,143.48316192626953
3,30,True,159.40403938293457
3,31,True,139.5270824432373
3,32,True,138.0140781402588
3,33,True,154.55198287963867
3,34,True,150.0380039215088
3,35,True,159.82580184936523
3,36,True,161.11207008361816
3,37,True,158.84780883789062
3,38,True,152.8031826019287
3,39,True,156.37707710266113
3,40,True,141.35122299194336
3,41,True,137.78185844421387
3,42,True,142.56906509399414
3,43,True,141.06225967407227
3,44,True,148.16808700561523
3,45,True,140.20800590515137
3,46,True,137.59684562683105
3,47,True,142.64488220214844
3,48,True,144.41299438476562
3,49,True,149.30105209350586
3,50,True,148.9431858062744
3,51,True,139.66012001037598
3,52,True,135.00714302062988
3,53,True,138.0760669708252
3,54,True,138.05723190307617
3,55,True,140.91229438781738
3,56,True,141.31474494934082
3,57,True,136.0921859741211
3,58,True,138.34095001220703
3,59,True,141.33524894714355
3,60,True,142.40717887878418
3,61,True,136.45315170288086
3,62,True,137.73298263549805
3,63,True,150.02012252807617
3,64,True,144.0119743347168
3,65,True,145.704984664917
3,66,True,140.1379108428955
3,67,True,138.42010498046875
3,68,True,138.8239860534668
3,69,True,138.01288604736328
3,70,True,139.6176815032959
3,71,True,141.0229206085205
3,72,True,140.31529426574707
3,73,True,139.30416107177734
3,74,True,137.2208595275879
3,75,True,138.25416564941406
3,76,True,138.42010498046875
3,77,True,135.76006889343262
3,78,True,137.91584968566895
3,79,True,141.12210273742676
3,80,True,136.92426681518555
3,81,True,133.76379013061523
3,82,True,135.73408126831055
3,83,True,139.6958827972412
3,84,True,138.70882987976074
3,85,True,137.4058723449707
3,86,True,140.00797271728516
3,87,True,143.08619499206543
3,88,True,139.021635055542
3,89,True,140.211820602417
3,90,True,138.81397247314453
3,91,True,142.08221435546875
3,92,True,137.70699501037598
3,93,True,143.77903938293457
3,94,True,136.5818977355957
3,95,True,151.89480781555176
3,96,True,156.3408374786377
3,97,True,134.60922241210938
3,98,True,137.53771781921387
3,99,True,139.862060546875
4,0,True,169.79026794433594
4,1,True,169.5561408996582
4,2,True,170.27020454406738
4,3,True,177.96611785888672
4,4,True,178.49087715148926
4,5,True,171.66996002197266
4,6,True,168.3509349822998
4,7,True,169.0816879272461
4,8,True,166.8100357055664
4,9,True,168.35570335388184
4,10,True,166.59903526306152
4,11,True,165.01307487487793
4,12,True,168.91980171203613
4,13,True,168.04122924804688
4,14,True,164.7632122039795
4,15,True,167.33980178833008
4,16,True,165.79794883728027
4,17,True,164.1709804534912
4,18,True,166.58902168273926
4,19,True,166.32771492004395
4,20,True,166.78786277770996
4,21,True,163.87629508972168
4,22,True,166.2299633026123
4,23,True,164.99614715576172
4,24,True,165.7090187072754
4,25,True,170.32504081726074
4,26,True,171.68617248535156
4,27,True,165.3728485107422
4,28,True,168.15781593322754
4,29,True,168.87307167053223
4,30,True,166.81623458862305
4,31,True,172.19090461730957
4,32,True,171.1709499359131
4,33,True,167.59872436523438
4,34,True,163.10501098632812
4,35,True,162.17589378356934
4,36,True,162.64700889587402
4,37,True,166.0301685333252
4,38,True,165.41814804077148
4,39,True,163.99717330932617
4,40,True,164.02006149291992
4,41,True,163.5432243347168
4,42,True,169.74496841430664
4,43,True,163.12289237976074
4,44,True,165.3881072998047
