puzzle_id,size,base_solved,corrected_solved,correction_type,solve_time_ms,correction_attempts,total_solve_calls
0,9,True,True,none,1543.3919429779053,0,1
1,9,True,True,none,251.85608863830566,0,1
2,9,True,True,none,1702.9669284820557,0,1
3,9,True,True,none,1660.715103149414,0,1
4,9,True,True,none,629.5092105865479,0,1
5,9,True,True,none,1046.0619926452637,0,1
6,9,True,True,none,380.3131580352783,0,1
7,9,True,True,none,1853.2328605651855,0,1
8,9,True,True,none,458.698034286499,0,1
9,9,True,True,none,1213.9360904693604,0,1
10,9,True,True,none,2878.5672187805176,0,1
11,9,True,True,none,685.1801872253418,0,1
12,9,True,True,none,607.3191165924072,0,1
13,9,True,True,none,2851.3810634613037,0,1
14,9,True,True,none,1739.0217781066895,0,1
15,9,True,True,none,1217.8611755371094,0,1
16,9,True,True,none,1479.3601036071777,0,1
17,9,True,True,none,1555.436134338379,0,1
18,9,True,True,none,410.98690032958984,0,1
19,9,False,True,single,46951.677083969116,1,5
20,9,True,True,none,1128.2548904418945,0,1
21,9,True,True,none,1304.718255996704,0,1
22,9,True,True,none,1574.3460655212402,0,1
23,9,True,True,none,4425.227880477905,0,1
24,9,True,True,none,5985.332012176514,0,1
25,9,True,True,none,1003.8328170776367,0,1
26,9,True,True,none,2395.648956298828,0,1
27,9,True,True,none,2230.9281826019287,0,1
28,9,True,True,none,590.839147567749,0,1
29,9,True,True,none,502.9270648956299,0,1
30,9,True,True,none,692.1520233154297,0,1
31,9,True,True,none,285.98713874816895,0,1
32,9,True,True,none,2563.9889240264893,0,1
33,9,True,True,none,705.5408954620361,0,1
34,9,True,True,none,1179.3029308319092,0,1
35,9,True,True,none,1667.2310829162598,0,1
36,9,True,True,none,853.0611991882324,0,1
37,9,True,True,none,429.5790195465088,0,1
38,9,False,True,single,15959.873914718628,1,6
39,9,True,True,none,617.9850101470947,0,1
40,9,True,True,none,2752.4330615997314,0,1
41,9,True,True,none,412.4612808227539,0,1
42,9,True,True,none,1189.6729469299316,0,1
43,9,True,True,none,2599.8921394348145,0,1
44,9,True,True,none,1691.8647289276123,0,1
45,9,True,True,none,318.2868957519531,0,1
46,9,False,True,none,85482.8872680664,0,2
47,9,True,True,none,1862.1799945831299,0,1
48,9,True,True,none,1045.7239151000977,0,1
49,9,True,True,none,380.8739185333252,0,1
50,9,True,True,none,227.31399536132812,0,1
51,9,True,True,none,607.5038909912109,0,1
52,9,True,True,none,1410.7482433319092,0,1
53,9,True,True,none,725.9862422943115,0,1
54,9,True,True,none,2643.4319019317627,0,1
55,9,True,True,none,1853.6021709442139,0,1
56,9,True,True,none,487.0562553405762,0,1
57,9,True,True,none,2034.451961517334,0,1
58,9,True,True,none,1269.4830894470215,0,1
59,9,True,True,none,2322.6990699768066,0,1
60,9,True,True,none,1643.5163021087646,0,1
61,9,True,True,none,2930.3221702575684,0,1
62,9,True,True,none,1411.4298820495605,0,1
63,9,True,True,none,3712.2597694396973,0,1
64,9,True,True,none,435.00685691833496,0,1
65,9,True,True,none,265.46788215637207,0,1
66,9,True,True,none,697.7951526641846,0,1
67,9,True,True,none,568.7859058380127,0,1
68,9,False,True,single,16438.13681602478,1,19
69,9,True,True,none,913.1479263305664,0,1
70,9,True,True,none,663.7759208679199,0,1
71,9,True,True,none,518.5749530792236,0,1
72,9,True,True,none,857.9339981079102,0,1
73,9,True,True,none,4986.793041229248,0,1
74,9,True,True,none,1304.940938949585,0,1
75,9,True,True,none,4611.114978790283,0,1
76,9,True,True,none,2055.4070472717285,0,1
77,9,True,True,none,1173.110008239746,0,1
78,9,True,True,none,1761.5151405334473,0,1
79,9,True,True,none,956.1107158660889,0,1
80,9,True,True,none,1147.7491855621338,0,1
81,9,True,True,none,618.2301044464111,0,1
82,9,True,True,none,532.4718952178955,0,1
83,9,True,True,none,2120.748996734619,0,1
84,9,True,True,none,1238.349199295044,0,1
85,9,True,True,none,1170.3040599822998,0,1
86,9,True,True,none,2186.134099960327,0,1
87,9,True,True,none,3426.706075668335,0,1
88,9,False,True,single,16211.97533607483,1,6
89,9,True,True,none,2737.0030879974365,0,1
90,9,True,True,none,4942.608833312988,0,1
91,9,True,True,none,1255.8419704437256,0,1
92,9,True,True,none,3164.6339893341064,0,1
93,9,True,True,none,604.7916412353516,0,1
94,9,True,True,none,2336.928129196167,0,1
95,9,True,True,none,1893.3520317077637,0,1
96,9,True,True,none,879.7218799591064,0,1
97,9,True,True,none,1154.770851135254,0,1
98,9,True,True,none,1910.822868347168,0,1
99,9,True,True,none,464.1289710998535,0,1
