puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
0,0.98828125,False,False,False,False,0,256,0.09377694129943848,0.07410621643066406
1,0.99609375,False,False,False,False,0,256,0.06283807754516602,0.0421910285949707
2,0.98828125,False,False,False,False,0,256,0.06249713897705078,0.04036092758178711
3,0.99609375,False,False,False,False,0,256,0.06171298027038574,0.8548722267150879
4,0.984375,False,False,False,False,0,256,0.06412220001220703,0.04119586944580078
5,0.9921875,False,False,False,False,0,256,0.06963610649108887,0.0424649715423584
6,0.9921875,False,False,False,False,0,256,0.06876611709594727,0.04144716262817383
7,0.9921875,False,False,False,False,0,256,0.07201790809631348,0.04265093803405762
8,0.99609375,False,False,False,False,0,256,0.07027697563171387,0.04381084442138672
9,0.984375,False,False,False,False,0,256,0.07577323913574219,0.0413210391998291
10,0.99609375,False,False,False,False,0,256,0.12809395790100098,0.3367900848388672
11,0.98828125,False,False,False,False,0,256,0.0726630687713623,0.04249978065490723
12,0.9921875,False,False,False,False,0,256,0.06939482688903809,0.04260993003845215
13,0.9921875,False,False,False,False,0,256,0.06674814224243164,0.042526960372924805
14,0.984375,False,False,False,False,0,256,0.0658869743347168,0.04283595085144043
15,0.98828125,False,False,False,False,0,256,0.06517791748046875,0.22054576873779297
16,0.984375,False,False,False,False,0,256,0.06827592849731445,0.043081045150756836
17,0.984375,False,False,False,False,0,256,0.06738400459289551,0.04255533218383789
18,0.9765625,False,False,False,False,0,256,0.06544184684753418,0.04255390167236328
19,0.99609375,False,False,False,False,0,256,0.06273198127746582,0.04303884506225586
20,0.9765625,False,False,False,False,0,256,0.06656408309936523,0.041956186294555664
21,0.98046875,False,False,False,False,0,256,0.07178115844726562,0.04185295104980469
22,0.9921875,False,False,False,False,0,256,0.06927323341369629,0.04176592826843262
23,0.98828125,False,False,False,False,0,256,0.06851673126220703,0.04129791259765625
24,0.984375,False,False,False,False,0,256,0.06432199478149414,0.04206418991088867
25,0.98828125,False,False,False,False,0,256,0.0690608024597168,0.04160284996032715
26,0.984375,False,False,False,False,0,256,0.06690478324890137,0.040659189224243164
27,0.9921875,False,False,False,False,0,256,0.08102893829345703,0.04179096221923828
28,0.99609375,False,False,False,False,0,256,0.07333087921142578,0.041725873947143555
29,0.98828125,False,False,False,False,0,256,0.06676411628723145,0.04190802574157715
30,0.9921875,False,False,False,False,0,256,0.07422780990600586,0.041120052337646484
