size,puzzle_idx,correct,response_time,tokens
3,0,False,5.091095685958862,26025
3,1,False,3.511644124984741,25910
3,2,False,2.8351948261260986,25889
3,3,False,2.3995299339294434,25863
3,4,False,1.4014990329742432,25821
3,5,False,2.161579132080078,25841
3,6,False,1.4621551036834717,25815
3,7,False,1.4674112796783447,25817
3,8,False,2.7506580352783203,25908
3,9,False,3.912081718444824,25880
3,10,False,5.107996940612793,25990
3,11,False,1.5622119903564453,25816
3,12,False,5.075164794921875,26027
3,13,False,3.6088249683380127,25866
3,14,False,1.6347920894622803,25829
3,15,False,4.230123996734619,25957
3,16,True,3.094028949737549,25905
3,17,False,2.2272000312805176,25815
3,18,False,2.1984469890594482,25850
3,19,False,1.9844138622283936,25837
3,20,False,1.4682838916778564,25815
3,21,False,1.505336046218872,25820
3,22,False,2.0203490257263184,25851
3,23,False,2.339466094970703,25875
3,24,False,3.1199138164520264,25871
3,25,False,1.7009849548339844,25817
3,26,False,5.761007070541382,26003
3,27,False,1.7281081676483154,25816
3,28,False,2.4337399005889893,25884
3,29,False,1.6394097805023193,25842
3,30,False,3.728001832962036,25868
3,31,False,4.022397756576538,25935
3,32,False,1.9231469631195068,25841
3,33,False,2.610400915145874,25866
3,34,False,4.191112041473389,25935
3,35,False,1.4310829639434814,25821
3,36,False,4.824452877044678,25966
3,37,False,4.191769123077393,25882
3,38,False,2.571599006652832,25851
3,39,False,3.652238130569458,25906
3,40,False,1.885800838470459,25822
3,41,False,2.310332775115967,25844
3,42,False,2.2249579429626465,25830
3,43,False,2.014961004257202,25815
3,44,False,1.5699999332427979,25822
3,45,False,3.5117669105529785,25894
3,46,False,3.4170517921447754,25900
3,47,False,2.138727903366089,25848
3,48,True,1.743910789489746,25822
3,49,False,4.066558122634888,25887
3,50,False,1.6612763404846191,25821
3,51,False,1.5348122119903564,25815
3,52,False,6.082859992980957,26024
3,53,False,1.7051308155059814,25821
3,54,False,1.9682927131652832,25819
3,55,False,1.9496281147003174,25840
3,56,False,2.4297759532928467,25846
3,57,False,1.5708668231964111,25822
3,58,False,3.530040979385376,25904
3,59,False,4.0786731243133545,25952
3,60,False,5.203670024871826,26018
3,61,False,1.1463842391967773,25801
3,62,False,2.1465649604797363,25856
3,63,False,2.688588857650757,25849
3,64,False,1.5127098560333252,25816
3,65,False,1.8316450119018555,25838
3,66,False,2.242750883102417,25864
3,67,False,2.1982431411743164,25863
3,68,False,1.780606985092163,25833
3,69,False,1.8902409076690674,25839
3,70,False,3.1197919845581055,25891
3,71,False,1.8453278541564941,25823
3,72,False,3.1978559494018555,25898
3,73,False,2.046785831451416,25854
3,74,False,1.6144828796386719,25818
3,75,False,1.8468701839447021,25843
3,76,False,2.986678123474121,25857
3,77,False,5.4284069538116455,26038
3,78,False,2.0672247409820557,25855
3,79,False,1.681915044784546,25843
3,80,True,1.88108229637146,25837
3,81,True,2.5819876194000244,25872
3,82,False,1.6527650356292725,25817
3,83,False,4.295314073562622,25942
3,84,False,1.7465636730194092,25818
3,85,False,3.182157039642334,25882
3,86,False,1.7500791549682617,25815
3,87,False,3.0732879638671875,25891
3,88,False,2.251265048980713,25843
3,89,False,1.6459109783172607,25826
3,90,True,2.6126210689544678,25856
3,91,False,4.175668001174927,25922
3,92,False,5.273053884506226,26021
3,93,False,2.1249778270721436,25842
3,94,False,2.2026350498199463,25846
3,95,False,1.9547119140625,25826
3,96,False,2.1550252437591553,25848
3,97,False,3.0413577556610107,25885
3,98,False,8.151554107666016,26051
3,99,False,4.203269720077515,25956
