size,puzzle_idx,correct,response_time,tokens
9,0,False,229.31427526474,0
9,1,False,256.8249809741974,0
9,2,False,237.90596294403076,0
9,3,False,461.8104598522186,0
9,4,False,231.32841086387634,0
9,5,False,228.6680450439453,0
9,6,False,224.87869310379028,0
9,7,False,220.88361310958862,0
9,8,False,245.82553815841675,0
9,9,False,262.86848521232605,0
9,10,False,501.0366349220276,0
9,11,False,277.60230016708374,0
9,12,False,191.38336896896362,0
9,13,False,183.09706592559814,0
9,14,False,265.30893325805664,0
9,15,False,113.13832402229309,0
9,16,False,172.18313598632812,0
9,17,False,282.76562094688416,0
9,18,False,157.65142512321472,0
9,19,False,219.01540684700012,0
9,20,False,233.7860312461853,0
9,21,False,249.77679705619812,0
9,22,False,247.52079892158508,0
9,23,False,241.7035870552063,0
9,24,False,257.73696517944336,0
9,25,False,260.50596594810486,0
9,26,False,195.99182224273682,0
9,27,False,189.2414767742157,0
9,28,False,235.9289050102234,0
9,29,False,199.80273032188416,0
9,30,False,233.4775390625,0
9,31,False,200.5187430381775,0
9,32,False,226.34992218017578,0
9,33,False,249.81994700431824,0
9,34,False,253.2482991218567,0
9,35,False,255.38574266433716,0
9,36,False,246.17464876174927,0
9,37,False,263.19289088249207,0
9,38,False,181.65789413452148,0
9,39,False,230.61095094680786,0
9,40,False,288.262531042099,0
9,41,False,314.5788688659668,0
9,42,False,273.209303855896,0
9,43,False,244.6007740497589,0
9,44,False,259.35154008865356,0
9,45,False,276.52822709083557,0
9,46,False,268.61326789855957,0
9,47,False,256.9213960170746,0
9,48,False,219.8679940700531,0
9,49,False,215.4602439403534,0
9,50,False,284.3031759262085,0
9,51,False,205.09010815620422,0
9,52,False,247.05131912231445,0
9,53,False,254.73099613189697,0
9,54,False,233.1804437637329,0
9,55,False,238.91065382957458,0
9,56,False,475.834844827652,0
9,57,False,218.35105299949646,0
9,58,False,212.98091387748718,0
9,59,False,254.7352876663208,0
9,60,False,315.2655301094055,0
9,61,False,220.1473970413208,0
9,62,False,244.23189902305603,0
9,63,False,270.643434047699,0
9,64,False,235.42519903182983,0
9,65,False,231.4315161705017,0
9,66,False,183.50202989578247,0
9,67,False,273.7160949707031,0
9,68,False,185.03777885437012,0
9,69,False,273.4599621295929,0
9,70,False,226.18372511863708,0
9,71,False,268.3484649658203,0
9,72,False,215.7582139968872,0
9,73,False,237.06250977516174,0
9,74,False,235.63154101371765,0
9,75,False,230.49734830856323,0
9,76,False,239.08424878120422,0
9,77,False,227.45674395561218,0
9,78,False,237.6873562335968,0
9,79,False,208.04807114601135,0
9,80,False,242.94808793067932,0
9,81,False,263.33607006073,0
9,82,False,292.1666359901428,0
9,83,False,200.38275289535522,0
9,84,False,247.80868291854858,0
9,85,False,229.99094700813293,0
9,86,False,228.3398196697235,0
9,87,False,228.04575324058533,0
9,88,False,231.3343689441681,0
9,89,False,234.69793105125427,0
9,90,False,262.8683707714081,0
9,91,False,221.09439611434937,0
9,92,False,283.6408529281616,0
9,93,False,272.3829770088196,0
9,94,False,238.7146201133728,0
9,95,False,208.89400506019592,0
9,96,False,272.59506487846375,0
9,97,False,246.8903570175171,0
9,98,False,220.98055601119995,0
9,99,False,263.0709629058838,0
