size,puzzle_idx,correct,response_time,tokens
16,0,False,15.70629096031189,26474
16,1,False,16.94366192817688,26454
16,2,False,17.252208948135376,26467
16,3,False,13.677879095077515,26347
16,4,False,15.990173101425171,26482
16,5,False,16.9376220703125,26477
16,6,False,12.990766048431396,26424
16,7,False,14.340049266815186,26477
16,8,False,16.91554093360901,26505
16,9,False,18.124268054962158,26459
16,10,False,15.356091022491455,26427
16,11,False,18.667725086212158,26474
16,12,False,19.17328405380249,26495
16,13,False,18.843515872955322,26416
16,14,False,15.568434000015259,26498
16,15,False,16.68782114982605,26435
16,16,False,16.928789854049683,26441
16,17,False,16.234493255615234,26504
16,18,False,11.743738174438477,26420
16,19,False,6.5566630363464355,25946
16,20,False,17.527745008468628,26485
16,21,False,12.250679016113281,26342
16,22,False,14.69182300567627,26383
16,23,False,11.69425106048584,26286
16,24,False,19.93482995033264,26496
16,25,False,16.050947904586792,26450
16,26,False,18.63859796524048,26482
16,27,False,14.79394006729126,26419
16,28,False,14.404722213745117,26410
16,29,False,16.38129425048828,26430
16,30,False,15.773956060409546,26430
16,31,False,15.888782739639282,26495
16,32,False,10.044170141220093,26174
16,33,False,17.316708087921143,26392
16,34,False,17.433642864227295,26442
16,35,False,15.049283027648926,26497
16,36,False,13.318110227584839,26441
16,37,False,13.903532981872559,26396
16,38,False,13.254167079925537,26271
16,39,False,15.265724182128906,26484
16,40,False,14.757481813430786,26418
16,41,False,15.879993677139282,26407
16,42,False,16.599511861801147,26435
16,43,False,17.929521799087524,26480
16,44,False,10.14547610282898,26134
16,45,False,15.98780608177185,26465
16,46,False,15.984862089157104,26414
16,47,False,13.217972993850708,26330
16,48,False,14.660236835479736,26431
16,49,False,19.261336088180542,26450
16,50,False,17.318378925323486,26357
16,51,False,15.882508039474487,26435
16,52,False,17.93647789955139,26475
16,53,False,15.166769981384277,26366
16,54,False,16.81021285057068,26503
16,55,False,18.231042861938477,26396
16,56,False,10.361333847045898,26152
16,57,False,21.715438842773438,26515
16,58,False,18.74336004257202,26467
16,59,False,14.957374095916748,26428
16,60,False,18.86069393157959,26486
16,61,False,14.443776845932007,26419
16,62,False,18.121187210083008,26499
16,63,False,16.401024103164673,26324
16,64,False,13.325512170791626,26300
16,65,False,15.566510915756226,26456
16,66,False,16.601318836212158,26488
16,67,False,15.565087080001831,26389
16,68,False,11.778639078140259,26183
16,69,False,18.44771409034729,26426
16,70,False,11.871896266937256,26087
16,71,False,14.239575862884521,26360
16,72,False,16.504417896270752,26475
16,73,False,19.567382097244263,26438
16,74,False,18.11780309677124,26424
16,75,False,13.756158828735352,26437
16,76,False,20.348369359970093,26433
16,77,False,19.21167802810669,26456
16,78,False,15.0350661277771,26499
16,79,False,14.09418797492981,26435
16,80,False,16.086384296417236,26490
16,81,False,19.010445833206177,26474
16,82,False,19.606011867523193,26490
16,83,False,19.728641033172607,26471
16,84,False,15.000326156616211,26449
16,85,False,15.366552114486694,26467
16,86,False,7.598962068557739,26087
16,87,False,15.772544860839844,26428
16,88,False,9.641443014144897,26099
16,89,False,13.621888875961304,26483
16,90,False,11.586384057998657,26352
16,91,False,13.933122873306274,26428
16,92,False,13.52498483657837,26441
16,93,False,12.194748878479004,26430
16,94,False,13.533334970474243,26443
16,95,False,13.41919732093811,26493
16,96,False,16.298290729522705,26284
16,97,False,27.454235076904297,26475
16,98,False,16.182509183883667,26451
16,99,False,16.58235001564026,26458
