size,accuracy,avg_time_ms
3,79.0,151.15702867507935
4,28.999999999999996,177.57829904556274
5,5.0,203.04031610488892
6,0.0,223.0024766921997
7,0.0,264.9361252784729
9,90.0,297.18167543411255
