puzzle_id,size,size_detected,size_correct,num_cages_expected,num_cages_detected,solved,solve_time_ms
0,3,3,True,5,5,True,199.51677322387695
1,3,3,True,4,4,False,154.62517738342285
2,3,3,True,4,4,True,143.83292198181152
3,3,3,True,5,5,True,144.46187019348145
4,3,3,True,4,4,True,145.2329158782959
5,3,3,True,5,5,True,144.78206634521484
6,3,3,True,3,3,True,143.53322982788086
7,3,3,True,3,3,True,153.15771102905273
8,3,3,True,4,4,True,141.04390144348145
9,3,3,True,5,5,True,147.37701416015625
10,3,3,True,4,4,True,138.83113861083984
11,3,3,True,4,4,True,140.55800437927246
12,3,3,True,3,3,True,142.5778865814209
13,3,3,True,3,3,False,142.73691177368164
14,3,3,True,4,4,True,146.18897438049316
15,3,3,True,5,5,True,146.84176445007324
16,3,3,True,4,4,True,147.66407012939453
17,3,3,True,4,4,True,150.8159637451172
18,3,3,True,5,5,False,156.325101852417
19,3,3,True,4,4,True,150.77710151672363
20,3,3,True,4,4,False,151.23391151428223
21,3,3,True,4,4,True,156.75115585327148
22,3,3,True,5,5,True,159.97886657714844
23,3,3,True,3,3,True,152.91118621826172
24,3,3,True,5,5,True,149.80101585388184
25,3,3,True,4,4,False,152.87518501281738
26,3,3,True,5,5,True,147.18008041381836
27,3,3,True,4,4,True,145.83802223205566
28,3,3,True,5,5,True,145.111083984375
29,3,3,True,5,5,True,145.88093757629395
30,3,3,True,5,5,True,148.73003959655762
31,3,3,True,3,3,False,138.31281661987305
32,3,3,True,4,4,True,141.1457061767578
33,3,3,True,5,5,True,146.45719528198242
34,3,3,True,4,4,True,145.62392234802246
35,3,3,True,3,3,False,140.9139633178711
36,3,3,True,4,4,True,140.65980911254883
37,3,3,True,4,4,True,144.6359157562256
38,3,3,True,5,5,False,154.09398078918457
39,3,3,True,3,3,True,144.2852020263672
40,3,3,True,4,4,True,142.78125762939453
41,3,3,True,5,5,True,135.18834114074707
42,3,3,True,5,5,False,140.72132110595703
43,3,3,True,5,5,False,138.3340358734131
44,3,3,True,5,5,True,153.45382690429688
45,3,3,True,4,4,True,138.83614540100098
46,3,3,True,5,5,True,141.1287784576416
47,3,3,True,5,5,True,144.61326599121094
48,3,3,True,4,4,True,149.461030960083
49,3,3,True,5,5,True,146.26622200012207
50,3,3,True,5,5,True,149.0309238433838
51,3,3,True,4,4,True,149.03807640075684
52,3,3,True,3,3,True,142.8370475769043
53,3,3,True,5,5,False,140.5961513519287
54,3,3,True,4,4,True,142.24576950073242
55,3,3,True,5,5,True,143.7230110168457
56,3,3,True,5,5,True,143.12076568603516
57,3,3,True,4,4,False,141.21198654174805
58,3,3,True,4,4,True,136.6591453552246
59,3,3,True,4,4,True,143.24402809143066
60,3,3,True,4,4,True,142.9119110107422
61,3,3,True,4,4,False,134.9658966064453
62,3,3,True,4,4,False,134.95874404907227
63,3,3,True,5,5,False,137.69912719726562
64,3,3,True,5,5,True,141.6950225830078
65,3,3,True,5,5,True,142.72093772888184
66,3,3,True,4,4,True,145.8878517150879
67,3,3,True,4,4,True,142.33088493347168
68,3,3,True,4,4,True,155.60507774353027
69,3,3,True,5,5,True,149.89995956420898
70,3,3,True,4,4,True,158.5540771484375
71,3,3,True,4,4,True,194.64707374572754
72,3,3,True,4,4,False,180.15575408935547
73,3,3,True,5,5,True,222.33009338378906
74,3,3,True,4,4,True,199.60808753967285
75,3,3,True,5,5,True,168.3356761932373
76,3,3,True,4,4,False,159.9559783935547
77,3,3,True,4,4,True,148.10919761657715
78,3,3,True,4,4,True,152.04215049743652
79,3,3,True,4,4,True,153.42307090759277
80,3,3,True,4,4,True,152.68683433532715
81,3,3,True,3,3,True,148.44226837158203
82,3,3,True,4,4,True,153.2142162322998
83,3,3,True,4,4,True,153.9468765258789
84,3,3,True,4,4,True,171.39005661010742
85,3,3,True,4,4,True,175.5681037902832
86,3,3,True,4,4,True,172.82795906066895
87,3,3,True,3,3,True,174.46398735046387
88,3,3,True,4,4,True,167.12498664855957
89,3,3,True,5,5,True,176.8050193786621
90,3,3,True,5,5,False,154.98805046081543
91,3,3,True,5,5,False,155.1339626312256
92,3,3,True,4,4,True,149.67894554138184
93,3,3,True,4,4,True,154.19411659240723
94,3,3,True,4,4,True,147.5362777709961
95,3,3,True,4,4,True,148.223876953125
96,3,3,True,4,4,False,151.49998664855957
97,3,3,True,3,3,True,147.32098579406738
98,3,3,True,4,4,False,154.03413772583008
99,3,3,True,5,5,True,144.99402046203613
0,4,4,True,7,7,False,169.75903511047363
1,4,4,True,8,8,False,181.48517608642578
2,4,4,True,7,7,False,167.96112060546875
3,4,4,True,8,8,False,164.870023727417
4,4,4,True,7,7,False,170.46499252319336
5,4,4,True,7,7,False,179.15582656860352
6,4,4,True,6,6,True,171.1421012878418
7,4,4,True,7,7,False,164.8550033569336
8,4,4,True,8,8,True,174.89194869995117
9,4,4,True,7,7,True,169.33131217956543
10,4,4,True,7,7,False,166.64505004882812
11,4,4,True,7,7,False,164.66808319091797
12,4,4,True,7,7,False,166.4109230041504
13,4,4,True,7,7,False,171.99063301086426
14,4,4,True,8,8,True,166.95022583007812
15,4,4,True,6,6,False,168.39909553527832
16,4,4,True,7,7,False,168.70713233947754
17,4,4,True,7,7,False,165.8041477203369
18,4,4,True,7,7,True,185.4720115661621
