puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,cells_match_expected,total_cells,extract_time,solve_time
0,1.0,True,True,True,241,256,0.10109210014343262,1.7751030921936035
1,1.0,True,True,True,232,256,0.15201592445373535,1.5400629043579102
2,1.0,True,True,True,208,256,0.08329391479492188,0.7525019645690918
3,1.0,True,True,True,231,256,0.08884096145629883,1.2948191165924072
4,1.0,True,True,True,224,256,0.08910107612609863,1.0229239463806152
5,1.0,True,True,True,214,256,0.07132220268249512,1.139214038848877
6,1.0,True,True,True,231,256,0.06610107421875,1.1521239280700684
7,1.0,True,True,True,209,256,0.06469202041625977,1.9832491874694824
8,1.0,True,True,True,223,256,0.06835722923278809,1.4158329963684082
9,1.0,True,True,True,226,256,0.07256722450256348,0.8112518787384033
10,1.0,True,True,True,197,256,0.07842397689819336,1.1353979110717773
11,1.0,True,True,True,252,256,0.07389426231384277,1.478395938873291
12,1.0,True,True,True,249,256,0.07268309593200684,1.4184648990631104
13,1.0,True,True,True,229,256,0.06550407409667969,0.925696849822998
14,1.0,True,True,True,230,256,0.06695818901062012,1.4928779602050781
15,1.0,True,True,True,209,256,0.06533098220825195,0.6353249549865723
16,1.0,True,True,True,197,256,0.06368494033813477,3.3830959796905518
17,1.0,True,True,True,241,256,0.06820487976074219,0.7072358131408691
18,1.0,True,True,True,230,256,0.06340193748474121,0.9656319618225098
19,1.0,True,True,True,198,256,0.07174301147460938,4.139653205871582
20,1.0,True,True,True,249,256,0.06597518920898438,0.5996029376983643
21,1.0,True,True,True,211,256,0.063446044921875,2.0074691772460938
22,1.0,True,True,True,244,256,0.08909368515014648,1.4958508014678955
23,1.0,True,True,True,208,256,0.08643794059753418,2.255100965499878
24,1.0,True,True,True,256,256,0.06251716613769531,0.7120640277862549
25,1.0,True,True,True,242,256,0.05898284912109375,0.6970391273498535
26,1.0,True,True,True,244,256,0.06215214729309082,1.8793141841888428
27,1.0,True,True,True,224,256,0.07098174095153809,0.7833671569824219
28,1.0,True,True,True,200,256,0.0634768009185791,2.464973211288452
29,1.0,True,True,True,218,256,0.0631861686706543,1.4799201488494873
30,1.0,True,True,True,231,256,0.059873104095458984,0.5643949508666992
31,1.0,True,True,True,223,256,0.09834480285644531,0.551469087600708
32,1.0,True,True,True,213,256,0.06610298156738281,1.3961868286132812
33,1.0,True,True,True,221,256,0.06038665771484375,1.0675859451293945
34,1.0,True,True,True,241,256,0.05791115760803223,0.9093360900878906
35,1.0,True,True,True,202,256,0.05804610252380371,0.45602893829345703
36,1.0,True,True,True,228,256,0.05727791786193848,1.5957040786743164
37,1.0,True,True,True,212,256,0.058036088943481445,2.372339963912964
38,1.0,True,True,True,220,256,0.06097412109375,1.9230341911315918
39,1.0,True,True,True,227,256,0.05988907814025879,0.47648072242736816
40,1.0,True,True,True,249,256,0.0646212100982666,0.9523019790649414
41,1.0,True,True,True,213,256,0.06648588180541992,2.697927951812744
42,1.0,True,True,True,221,256,0.07295775413513184,0.8409121036529541
43,1.0,True,True,True,203,256,0.05969882011413574,2.5076632499694824
44,1.0,True,True,True,240,256,0.06537485122680664,0.7618601322174072
45,1.0,True,True,True,235,256,0.058760881423950195,0.9723708629608154
46,1.0,True,True,True,235,256,0.06598377227783203,1.4967272281646729
47,1.0,True,True,True,222,256,0.059062957763671875,1.527512788772583
48,1.0,True,True,True,241,256,0.056562185287475586,1.0192832946777344
49,1.0,True,True,True,238,256,0.05951380729675293,0.5035758018493652
50,1.0,True,True,True,199,256,0.05965590476989746,1.6513652801513672
51,1.0,True,True,True,223,256,0.07473421096801758,1.1114633083343506
52,1.0,True,True,True,224,256,0.05718493461608887,0.9258701801300049
53,1.0,True,True,True,209,256,0.058129072189331055,1.1971430778503418
54,1.0,True,True,True,227,256,0.05798006057739258,1.0845727920532227
55,1.0,True,True,True,231,256,0.08453178405761719,1.3063631057739258
56,1.0,True,True,True,231,256,0.05937314033508301,1.3219990730285645
57,1.0,True,True,True,225,256,0.06026411056518555,2.0175621509552
58,1.0,True,True,True,227,256,0.06058788299560547,0.8803930282592773
59,1.0,True,True,True,242,256,0.06358003616333008,1.2761600017547607
60,1.0,True,True,True,231,256,0.06052899360656738,0.7427849769592285
61,1.0,True,True,True,230,256,0.05869793891906738,0.9281649589538574
62,1.0,True,True,True,207,256,0.056941986083984375,0.7886250019073486
63,1.0,True,True,True,238,256,0.058341264724731445,1.433655023574829
64,1.0,True,True,True,241,256,0.06264090538024902,0.5328938961029053
65,1.0,True,True,True,214,256,0.059125661849975586,0.8461768627166748
66,1.0,True,True,True,233,256,0.05853414535522461,0.9216017723083496
67,1.0,True,True,True,232,256,0.08764386177062988,1.1957969665527344
68,1.0,True,True,True,206,256,0.05752825736999512,1.4678120613098145
69,1.0,True,True,True,199,256,0.05736660957336426,1.5561058521270752
70,1.0,True,True,True,244,256,0.07321000099182129,0.982856273651123
71,1.0,True,True,True,224,256,0.06119084358215332,0.9412579536437988
72,1.0,True,True,True,230,256,0.05780506134033203,0.5978889465332031
73,1.0,True,True,True,244,256,0.05951118469238281,0.9668612480163574
74,1.0,True,True,True,233,256,0.06411886215209961,1.1626229286193848
75,1.0,True,True,True,231,256,0.06304192543029785,0.9890918731689453
76,1.0,True,True,True,241,256,0.06016397476196289,0.7762711048126221
77,1.0,True,True,True,223,256,0.05844712257385254,0.8688068389892578
78,1.0,True,True,True,196,256,0.058654069900512695,4.421080827713013
79,1.0,True,True,True,241,256,0.058920860290527344,1.0982067584991455
