puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,cells_match_expected,total_cells,extract_time,solve_time
0,1.0,True,True,True,241,256,0.07042384147644043,1.0302612781524658
1,1.0,True,True,True,232,256,0.055419206619262695,1.037405014038086
2,1.0,True,True,True,208,256,0.04715085029602051,0.4572160243988037
3,1.0,True,True,True,231,256,0.04380226135253906,0.8767211437225342
4,1.0,True,True,True,224,256,0.04354596138000488,0.7229330539703369
5,1.0,True,True,True,214,256,0.04313492774963379,0.8502810001373291
6,1.0,True,True,True,231,256,0.05632591247558594,0.8474459648132324
7,1.0,True,True,True,209,256,0.051850080490112305,1.4381771087646484
8,1.0,True,True,True,223,256,0.04463911056518555,0.9634969234466553
9,1.0,True,True,True,226,256,0.04369091987609863,0.5524611473083496
10,1.0,True,True,True,197,256,0.04773998260498047,0.7380452156066895
11,1.0,True,True,True,252,256,0.04471182823181152,1.0404448509216309
12,1.0,True,True,True,249,256,0.0443263053894043,1.0133061408996582
13,1.0,True,True,True,229,256,0.045623064041137695,0.6728851795196533
14,1.0,True,True,True,230,256,0.044708251953125,0.9834921360015869
15,1.0,True,True,True,209,256,0.04916715621948242,0.4488661289215088
16,1.0,True,True,True,197,256,0.04393172264099121,2.273348093032837
17,1.0,True,True,True,241,256,0.04928708076477051,0.5009191036224365
18,1.0,True,True,True,230,256,0.046298980712890625,0.7122480869293213
19,1.0,True,True,True,198,256,0.04522299766540527,3.1264986991882324
20,1.0,True,True,True,249,256,0.04547619819641113,0.48029589653015137
21,1.0,True,True,True,211,256,0.044338226318359375,1.5188260078430176
22,1.0,True,True,True,244,256,0.04408597946166992,1.1425471305847168
23,1.0,True,True,True,208,256,0.04448103904724121,1.5919041633605957
24,1.0,True,True,True,256,256,0.04542994499206543,0.5624237060546875
25,1.0,True,True,True,242,256,0.0505678653717041,0.5528459548950195
26,1.0,True,True,True,244,256,0.04402470588684082,1.4138081073760986
27,1.0,True,True,True,224,256,0.04515671730041504,0.6219429969787598
28,1.0,True,True,True,200,256,0.042971134185791016,2.068258047103882
