puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
0,1.0,True,True,True,True,256,256,0.06989169120788574,0.4998340606689453
1,1.0,True,True,True,True,256,256,0.05230116844177246,0.43313002586364746
2,1.0,True,True,True,True,256,256,0.05612492561340332,0.6562790870666504
3,1.0,True,True,True,True,256,256,0.059111833572387695,0.846289873123169
4,1.0,True,True,True,True,256,256,0.053433895111083984,0.6519811153411865
5,1.0,True,True,True,True,256,256,0.05513596534729004,0.7318611145019531
6,1.0,True,True,True,True,256,256,0.05306124687194824,1.3026549816131592
7,1.0,True,True,True,True,256,256,0.09757494926452637,0.4202890396118164
8,1.0,True,True,True,True,256,256,0.06722521781921387,0.5858960151672363
9,1.0,True,True,True,True,256,256,0.06363391876220703,0.4836702346801758
10,1.0,True,True,True,True,256,256,0.07447695732116699,0.5616891384124756
11,1.0,True,True,True,True,256,256,0.061499834060668945,0.8019282817840576
12,1.0,True,True,True,True,256,256,0.23403072357177734,0.6408209800720215
13,1.0,True,True,True,True,256,256,0.10949110984802246,0.3746178150177002
14,1.0,True,True,True,True,256,256,0.09523773193359375,0.38333892822265625
15,1.0,True,True,True,True,256,256,0.05855894088745117,0.3292880058288574
16,1.0,True,True,True,True,256,256,0.05188608169555664,0.7758650779724121
17,1.0,True,True,True,True,256,256,0.06735706329345703,0.511768102645874
18,1.0,True,True,True,True,256,256,0.05602693557739258,0.34647321701049805
19,1.0,True,True,True,True,256,256,0.05564594268798828,0.9553720951080322
20,1.0,True,True,True,True,256,256,0.08621597290039062,0.7794239521026611
21,1.0,True,True,True,True,256,256,0.0552678108215332,0.5325138568878174
22,1.0,True,True,True,True,256,256,0.05794382095336914,0.4423961639404297
23,1.0,True,True,True,True,256,256,0.05583906173706055,0.3018929958343506
24,1.0,True,True,True,True,256,256,0.16041183471679688,0.4314119815826416
25,1.0,True,True,True,True,256,256,0.07369279861450195,0.5751359462738037
26,1.0,True,True,True,True,256,256,0.06051182746887207,0.35454797744750977
27,1.0,True,True,True,True,256,256,0.05761981010437012,0.4978768825531006
28,1.0,True,True,True,True,256,256,0.06197309494018555,0.4904167652130127
29,1.0,True,True,True,True,256,256,0.06743192672729492,1.153648853302002
30,1.0,True,True,True,True,256,256,0.061765193939208984,0.8669679164886475
31,1.0,True,True,True,True,256,256,0.05396413803100586,0.8329563140869141
32,1.0,True,True,True,True,256,256,0.07157683372497559,0.6076359748840332
33,1.0,True,True,True,True,256,256,0.05826997756958008,0.8527891635894775
34,1.0,True,True,True,True,256,256,0.061496734619140625,0.19599103927612305
35,1.0,True,True,True,True,256,256,0.05885910987854004,0.2544901371002197
36,1.0,True,True,True,True,256,256,0.05789589881896973,1.1733980178833008
37,1.0,True,True,True,True,256,256,0.0580286979675293,0.8224613666534424
38,1.0,True,True,True,True,256,256,0.07367515563964844,0.6667840480804443
39,1.0,True,True,True,True,256,256,0.07864809036254883,1.0533130168914795
40,1.0,True,True,True,True,256,256,0.06376290321350098,0.46883201599121094
41,1.0,True,True,True,True,256,256,0.0610811710357666,0.8423371315002441
42,1.0,True,True,True,True,256,256,0.05579376220703125,0.5861802101135254
43,1.0,True,True,True,True,256,256,0.0544581413269043,0.21808910369873047
44,1.0,True,True,True,True,256,256,0.05440402030944824,0.33801794052124023
45,1.0,True,True,True,True,256,256,0.054788827896118164,1.1689231395721436
46,1.0,True,True,True,True,256,256,0.0572810173034668,0.3178269863128662
47,1.0,True,True,True,True,256,256,0.05453991889953613,1.0109460353851318
48,1.0,True,True,True,True,256,256,0.0557248592376709,0.4649519920349121
49,1.0,True,True,True,True,256,256,0.0556640625,0.7281889915466309
50,1.0,True,True,True,True,256,256,0.08975696563720703,0.8408629894256592
51,1.0,True,True,True,True,256,256,0.053862810134887695,0.48971009254455566
52,1.0,True,True,True,True,256,256,0.05315518379211426,0.6561450958251953
53,1.0,True,True,True,True,256,256,0.05661487579345703,0.7086179256439209
54,1.0,True,True,True,True,256,256,0.060955047607421875,0.9070658683776855
55,1.0,True,True,True,True,256,256,0.05370974540710449,0.5107221603393555
56,1.0,True,True,True,True,256,256,0.06595492362976074,0.369945764541626
57,1.0,True,True,True,True,256,256,0.05640387535095215,0.7459220886230469
58,1.0,True,True,True,True,256,256,0.0641777515411377,0.7877228260040283
59,1.0,True,True,True,True,256,256,0.08625197410583496,0.8268351554870605
60,1.0,True,True,True,True,256,256,0.054945945739746094,1.0856819152832031
61,1.0,True,True,True,True,256,256,0.05491995811462402,0.628662109375
62,1.0,True,True,True,True,256,256,0.05504584312438965,0.5484359264373779
63,1.0,True,True,True,True,256,256,0.056475162506103516,0.5079331398010254
64,1.0,True,True,True,True,256,256,0.05668020248413086,0.3719477653503418
65,1.0,True,True,True,True,256,256,0.05570816993713379,0.43859219551086426
66,1.0,True,True,True,True,256,256,0.1303699016571045,0.6688289642333984
67,1.0,True,True,True,True,256,256,0.05370807647705078,0.3724849224090576
68,1.0,True,True,True,True,256,256,0.055873870849609375,0.5534441471099854
69,1.0,True,True,True,True,256,256,0.062084197998046875,0.2952709197998047
70,1.0,True,True,True,True,256,256,0.05874776840209961,0.8916561603546143
71,1.0,True,True,True,True,256,256,0.056321144104003906,1.3085529804229736
72,1.0,True,True,True,True,256,256,0.06919598579406738,0.8113548755645752
73,1.0,True,True,True,True,256,256,0.057962894439697266,0.5144598484039307
74,1.0,True,True,True,True,256,256,0.056819915771484375,0.43101000785827637
75,1.0,True,True,True,True,256,256,0.05185413360595703,0.6047170162200928
76,1.0,True,True,True,True,256,256,0.057161808013916016,0.8255400657653809
77,1.0,True,True,True,True,256,256,0.05855298042297363,0.7780470848083496
78,1.0,True,True,True,True,256,256,0.05738711357116699,0.8129208087921143
79,1.0,True,True,True,True,256,256,0.056029319763183594,0.8279769420623779
80,1.0,True,True,True,True,256,256,0.05654096603393555,0.4642360210418701
81,1.0,True,True,True,True,256,256,0.05645608901977539,1.4651427268981934
82,1.0,True,True,True,True,256,256,0.05444908142089844,0.42888402938842773
83,1.0,True,True,True,True,256,256,0.0598599910736084,0.36103010177612305
84,1.0,True,True,True,True,256,256,0.05769014358520508,0.5279731750488281
85,1.0,True,True,True,True,256,256,0.06755900382995605,0.8680729866027832
86,1.0,True,True,True,True,256,256,0.08466672897338867,1.0721571445465088
